Filename-->;PUNTA_LILA.RFL8;PUNTA_LILA_2.RFL8;PUNTA_LILA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
300,262;-6,511991139;10,94045889;-10,28892094
300,854;-3,748376362;15,53672373;-5,036830412
301,446;-15,63880826;10,65046404;-2,343417206
302,038;-24,41056995;6,607468073;-16,52835503
302,630;-22,69261634;10,08403462;-21,62369272
303,222;-24,95464477;9,642259942;-23,56471723
303,814;-21,98039127;10,6370004;-20,28615204
304,406;-20,64826033;6,800766984;-33,95045806
304,998;-16,78549652;11,51898583;-26,80087436
305,590;-14,80040917;6,300597543;-20,07017552
306,182;-7,199511905;11,02236334;-20,02854381
306,773;3,238546692;15,75262534;-27,91453847
307,365;3,234501779;0,55796733;-18,56302063
307,957;6,733608634;0,197016824;-13,43674942
308,549;17,5929715;-0,362224939;-7,697471243
309,140;19,67680594;6,246759632;-1,630192019
309,732;23,00521967;-2,60202664;3,81841325
310,323;20,69026467;-0,445368069;4,66110311
310,915;23,70058562;-4,320363879;8,073965783
311,506;14,77676026;-14,21094007;1,805337639
312,098;13,95089267;-9,733909528;13,95915269
312,689;17,73974928;2,75771482;20,81810225
313,281;18,1482131;-1,158479658;22,2608096
313,872;6,347325736;-4,417970194;16,94017973
314,463;0,986724145;-4,400978159;20,06665496
315,055;-2,789659787;-1,518026519;17,38894886
315,646;5,18797009;0,368923888;25,01003626
316,237;6,814095737;11,93246612;23,65419297
316,828;11,56539874;19,0613722;25,65034499
317,420;9,48520514;19,68319963;18,0759187
318,011;2,941903598;0,686362318;4,091754727
318,602;-0,5674808;7,653742911;2,258336587
319,193;-1,125755092;0,624349809;9,854569099
319,784;-8,63624588;-13,75641869;0,613207655
320,375;-1,228802665;-1,252407941;10,14879044
320,966;-14,63223799;-9,259852747;5,643436759
321,557;-26,13605823;-11,94202871;5,718176071
322,148;-18,80379655;-2,358226531;13,29071992
322,738;-12,98519464;5,381414486;19,34353696
323,329;-9,371727962;15,46277847;22,77007449
323,920;-6,974268218;14,17161642;25,71428651
324,511;-4,413435529;17,15151497;24,1830057
325,102;-0,365130394;21,51726754;25,78149159
325,692;-4,108941687;15,20050385;23,09250527
326,283;1,009492187;22,68821632;23,27683605
326,874;10,99881147;20,69662936;21,05425949
327,464;7,40678224;5,860805688;13,22863169
328,055;9,262948266;-1,431167529;13,44370812
328,645;12,18115577;-3,395212738;13,43928163
329,236;14,9379581;-3,375723044;13,75600071
329,826;10,88526804;-4,062632318;14,39442017
330,417;16,4496842;0,692790599;11,41233727
331,007;20,23015307;11,30798358;11,53385242
331,597;14,92677514;-4,326617049;3,442428289
332,188;5,377376312;-7,632627386;8,674054204
332,778;4,611211631;2,002200207;8,841218611
333,368;1,885725055;6,643757263;4,60092008
333,958;3,218094896;10,41394264;4,994259511
334,548;5,737865939;17,34141607;5,6296836
335,139;14,94969791;19,63190144;-0,200620434
335,729;15,06487782;9,377203666;2,299076811
336,319;9,643884536;-4,318241442;-8,23315991
336,909;17,21589841;2,15475036;-5,724040604
337,499;29,68899128;15,44309737;-10,70990433
338,089;36,42172477;10,5983984;-4,020431749
338,679;29,13921362;5,297593869;-8,228167752
339,269;23,53676311;1,340182867;-5,40865389
339,858;20,75545915;-8,115441737;-8,733539793
340,448;17,74900429;-7,765451452;-1,001540758
341,038;14,71180342;-1,46775738;-4,975895227
341,628;16,27522905;3,760913408;2,95504552
342,218;12,85888264;15,21788706;15,71472622
342,807;-3,289244551;3,030302596;18,32269795
343,397;-4,655974845;8,135260915;12,59590848
343,986;-4,653204444;4,907975116;15,78276801
344,576;-4,762770222;4,001872437;13,67187538
345,166;-5,135838959;7,441664777;16,28995852
345,755;-7,65688936;6,542443135;10,0640731
346,345;-5,537918552;6,12700355;15,55886186
346,934;-6,556208604;4,130566518;15,97422411
347,523;-1,71898324;4,008479639;7,670703985
348,113;6,547068383;8,921729485;3,965485478
348,702;10,0693239;4,615096758;9,268205296
349,292;8,794501402;5,192006306;-0,626727773
349,881;8,37080611;2,246723567;-1,186842802
350,470;4,485666121;2,452984463;-1,060578695
351,059;5,866127349;4,062262883;1,770406314
351,648;10,86797981;5,234732208;0,824024878
352,238;12,03994846;6,391534269;2,282282195
352,827;11,07981197;-2,42081449;4,025696036
353,416;13,43909587;4,888352527;9,518893372
354,005;9,900074074;4,4463263;-2,980204558
354,594;18,9110266;11,34623162;13,13109923
355,183;24,49812284;17,9642796;19,4715684
355,772;26,84850513;16,36159795;14,24131618
356,361;29,5076765;16,31518361;9,364119752
356,949;23,47380133;13,8196806;7,154866362
357,538;17,14196744;16,19767879;5,63746795
358,127;17,24085347;17,66948438;7,419871962
358,716;12,17434014;7,132696938;0,508044274
359,304;6,457756357;11,25755108;10,58119696
359,893;-0,185278705;4,114490295;3,2474054
