Filename-->;LILA_1.RFL8;LILA_2.RFL8;LILA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,141;0,90068719;-31,92346364;31,50489862
196,739;-12,45176357;-30,78752676;37,70862279
197,337;-2,43193193;-29,74186252;33,52410689
197,934;-7,516424452;-37,48537898;32,8601375
198,532;3,279069773;-28,8933899;30,29473254
199,130;2,940516258;-25,64782236;35,20408129
199,727;2,81538792;-33,36247052;41,42694545
200,325;-6,617815747;-30,23455446;39,23288564
200,922;0,808338739;-41,49620274;35,15973825
201,520;5,793397009;-39,08241497;32,11438437
202,117;2,231458926;-20,69221355;29,30232703
202,715;-6,683804734;-21,40535256;27,24837274
203,312;-12,2680638;-9,030733323;24,65125659
203,909;-22,76227308;-5,415256467;32,48019465
204,507;-8,763207281;-5,874936785;34,3480636
205,104;-14,02146508;-8,773448506;32,85286331
205,701;0,381825307;-14,71590953;36,85842207
206,298;0,158951345;4,445664135;41,36411633
206,896;-1,582733766;7,266349561;46,91652375
207,493;-1,776829971;-3,867871573;40,42074847
208,090;2,481657997;-11,99453506;43,29698462
208,687;12,67864498;-14,95739;47,19083643
209,284;20,2352473;-20,10839982;45,50816674
209,881;18,9480636;-14,82323243;47,72301971
210,478;11,42857135;-17,8012783;49,73177504
211,075;13,08436313;-10,90393217;54,13669054
211,672;7,031456756;-18,90878856;54,11674292
212,269;9,312320592;-14,08828334;49,53865665
212,866;14,43590798;-5,501489184;51,84313624
213,463;10,26166078;-0,272003398;53,74294684
214,060;8,428768046;-6,773056401;51,30254002
214,657;-0,766650695;-4,078870787;50,02525567
215,253;-0,148441359;-11,77364288;51,78313949
215,850;6,269821992;-15,31670804;47,61544427
216,447;5,933395673;-27,69380777;45,42351209
217,044;6,568187785;-16,23951484;50,59629109
217,640;8,921329884;-26,08350984;48,31282216
218,237;4,381443182;-30,21829858;48,81680683
218,833;5,583281141;-43,66267455;43,96320426
219,430;14,09062634;-37,81107058;46,30872607
220,026;10,82901557;-42,17316073;48,65048401
220,623;-0,165334644;-21,20036447;45,00585593
221,219;7,096269138;-18,92661166;45,95800883
221,816;2,223412891;-17,58367715;47,0134876
222,412;-3,322343065;-26,61487155;43,94317917
223,009;-5,563947896;-24,98949984;55,55025484
223,605;-0,307219909;-37,5280908;52,90023155
224,201;-5,724557371;-25,5069375;52,86321869
224,798;-6,297962957;-24,05525174;51,04557577
225,394;-18,52240918;-24,36220847;48,94219918
225,990;-37,69751826;-44,00641023;48,79333636
226,586;-45,04504802;-30,92921914;46,81368567
227,182;-58,24221719;-37,40648588;40,86491687
227,778;-53,13725296;-32,74173569;38,35408904
228,374;-58,85266436;-41,07264073;31,70854255
228,971;-52,34672587;-41,39784994;35,82222083
229,567;-23,10188116;-35,4565322;30,53449279
230,163;-52,11328993;-44,402335;30,51507998
230,758;-18,33218313;-37,86382689;39,12899475
231,354;1,714101538;-27,56879646;37,31394417
231,950;-7,702308327;-35,95583195;38,70359907
232,546;-15,55885783;-23,3478253;35,24290421
233,142;-16,28289417;-26,88815018;35,44827517
233,738;-18,55757164;-22,29987286;33,02151476
234,334;-9,282854743;-14,7623017;28,45849813
234,929;-10,06185623;-19,59229869;30,21142769
235,525;-12,85171102;-20,88247998;38,00645589
236,121;-31,72551093;-17,63904679;35,14547061
236,716;-26,44252576;-35,90131074;37,99937508
237,312;-24,4832349;-20,33943216;39,478287
237,907;5,697373018;-32,07381306;46,01245082
238,503;1,507158935;-14,42841334;43,53620574
239,099;-3,971962477;-27,00278394;48,99747638
239,694;-29,8878609;-30,01155603;48,16695081
240,289;-43,47234717;-29,40700932;49,97716452
240,885;-37,94089742;-26,89196958;45,85056031
241,480;-26,88453062;-39,88833694;34,76708721
242,076;-52,27156619;-23,97576475;31,07977574
242,671;-51,8811845;-26,61002953;29,81425351
243,266;-84,63819526;-21,545188;29,82745999
243,861;-79,18065703;-57,11403296;33,63762718
244,457;-72,46870945;-44,39352332;22,49898669
245,052;-100,2298857;-39,7058831;29,02704749
245,647;-130,9747375;-48,95081937;25,50974159
246,242;-85,47888429;-45,89147265;21,94457051
246,837;-74,48015139;-35,34883453;22,25596517
247,432;-40,95744698;-27,44143524;23,81350579
248,027;-44,45916092;-23,34337365;21,7309694
248,622;-42,38032375;-20,84750309;18,40096476
249,217;-85,7578818;-4,397515589;20,98566393
249,812;-60,16144729;-11,14882333;26,8566782
250,407;-38,51146478;-6,187624147;22,29072022
251,002;-31,5768597;6,734366939;31,24805933
251,597;-48,06730238;9,637850911;31,63859581
252,192;-83,30504126;6,233460526;41,37266528
252,786;-83,4773191;14,18361736;38,39233014
253,381;-58,3038878;5,040748593;37,69313185
253,976;-58,29909671;10,74843375;34,19416694
254,571;-20,62888858;8,168682342;28,42621249
255,165;-23,81786347;21,87997786;25,73770501
255,760;-16,38946676;19,25000112;18,23899404
256,354;-10,08210156;20,29382348;15,52244471
256,949;0,302480492;17,87907427;11,54197932
257,543;9,607843022;15,66265026;10,47284823
258,138;-6,486145738;1,104294504;11,83666149
258,732;-7,178044156;3,177382529;10,03054209
259,327;4,185303348;5,332510146;13,55294074
259,921;-5,086372209;6,656101998;19,1984959
260,515;-8,630506169;8,987403795;19,80849778
261,110;-4,34021691;11,42088616;23,50022481
261,704;-1,59555983;6,927632926;19,65553728
