Filename-->;PETALO_CLARO_1.RFL8;PETALO_CLARO_2.RFL8;PETALO_CLARO_3.RFL8;PETALO_CLARO_4.RFL8;PETALO_CLARO_5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
212,866;4,692665897;-27,8941932;-29,03578258;-55,56282631;-25,88709651
213,463;-0,043927668;-15,19150271;-36,4063732;-43,45369042;-24,25457147
214,060;6,42259387;-7,305351833;-22,4109459;-51,36458851;-22,52788056
214,657;11,12045459;-4,019137477;-30,99205344;-51,44847381;-22,34607099
215,253;-5,832212221;-18,93984736;-36,55067292;-58,40258997;-35,44486047
215,850;3,839590286;-17,89982817;-30,69353226;-26,88536791;-11,76172309
216,447;2,787456264;-13,94432124;-29,17345668;-29,26308258;1,695724943
217,044;3,252885753;-5,358417739;-32,25492432;-29,06009103;0,919489408
217,640;5,303029934;-2,658487144;-18,89279386;-10,53639849;10,30207324
218,237;11,43851022;3,873319499;-20,35982743;-10,36975225;12,5330408
218,833;0,159344587;-4,035380368;-19,10614654;-25,09014447;6,847018657
219,430;1,630080783;3,642772542;-19,21987386;-10,81488964;8,20895526
220,026;-0,206517543;0,475866318;-7,180314834;-7,690349219;8,113016237
220,623;6,626631127;7,289596363;-9,066445634;-13,16306475;17,17305234
221,219;1,720958974;11,61835112;-7,871080464;-21,23842569;17,13048812
221,816;-5,357142627;0,376223448;-12,61866182;-13,95739935;10,79872154
222,412;-3,237924434;1,193256941;-2,632783563;-15,08522615;15,67806004
223,009;2,392433198;5,479790236;-3,810160682;-9,264877638;23,54115589
223,605;2,204081859;12,80253419;5,156537534;2,256138308;32,03277267
224,201;12,5504862;18,34897528;5,743446079;6,599882063;38,51708364
224,798;-1,087325835;7,945862908;-6,067702823;-8,329508939;28,77079072
225,394;2,065696042;11,4502202;-7,132337669;-13,04068541;29,55766952
225,990;1,460239313;3,82139124;-0,581045905;-10,64315399;23,81150096
226,586;4,907454523;1,974044861;-2,979374005;-4,348641305;21,36407209
227,182;7,002065197;1,444365239;-8,987486027;-5,509535626;14,39703212
227,778;6,438330316;4,470256969;-11,65722685;4,047573418;13,65723075
228,374;-2,674619928;-0,406256103;-9,64320174;-5,214317066;-2,939975465
228,971;-13,97310252;-16,99749081;-26,17845039;-17,84870045;-28,29787276
229,567;-28,54364129;-20,31324251;-26,78533074;-26,4776672;-39,37621953
230,163;-13,9721853;-14,3883275;-16,92627197;-21,1044848;-26,78284026
230,758;-21,54936025;-24,93650441;-20,66397067;-29,53259879;-32,0980426
231,354;-13,09472729;-9,809028111;-23,1676168;-17,89873473;-18,85223957
231,950;-15,98540191;-9,118618212;-28,75897536;-22,5463472;-19,78759135
232,546;-15,35414745;0,612869669;-19,23954315;-20,78189255;-4,54039072
233,142;-26,38852192;-15,33590498;-26,69233974;-34,72022977;-1,258616957
233,738;-18,85621881;-16,18641983;-28,57423088;-30,35050544;4,125138765
234,334;-1,93214002;1,269035254;-7,72052386;-7,844631029;21,26656102
234,929;5,117271138;-1,518346581;-7,652722599;0,839748295;26,53252311
235,525;3,574164485;1,812688917;-8,051689452;9,468878608;30,5332007
236,121;6,805682615;20,47244049;-10,43091615;16,07020737;36,76541029
236,716;-3,81757542;6,594784253;-10,84929555;8,183454031;23,75034746
237,312;1,420064405;15,70702789;-1,753826442;16,65351178;34,73292517
237,907;11,19536071;11,47314331;-1,675724661;20,09118663;42,90021819
238,503;9,862847521;17,74322131;-2,655941735;20,05705965;42,40368956
239,099;11,59838401;15,27614539;-2,286705465;22,62051849;42,24484464
239,694;16,09912921;22,55920319;-8,826463062;19,63626056;40,9969462
240,289;20,22936625;23,55608025;-12,82977953;20,14519069;38,7598698
