Filename-->;PETALO_OSCURO_1.RFL8;PETALO_OSCURO_2.RFL8;PETALO_OSCURO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
194,946;-6,566645203;0,835073024;8,827404427
195,543;-13,08641861;5,720453462;7,181515537
196,141;-9,279579641;-5,242298528;7,184553475
196,739;-14,60263261;-10,87899079;0,973732267
197,337;-8,918539497;-18,0969406;13,25939013
197,934;-11,92446415;-14,25394265;12,07967002
198,532;-6,836348334;-14,61716987;18,65260183
199,130;-25,40088348;-15,32596289;19,12806591
199,727;-52,01342309;-41,33363434;20,19867454
200,325;-50,35882315;-27,86885395;22,92061867
200,922;-44,14141299;-36,76536522;20,92696664
201,520;-41,41304367;-21,62102048;19,01824061
202,117;-39,89290295;-26,30890092;10,26442942
202,715;-34,69125376;-16,50587288;-2,507522641
203,312;-26,98740078;-19,06367047;8,665048633
203,909;-24,43428981;-11,77824656;11,54963689
204,507;-10,08230461;-14,51838803;17,34447132
205,104;-2,551020277;-2,657248315;21,21601398
205,701;1,220472423;-9,326340444;23,93307544
206,298;-4,606891356;0,381097535;17,67068232
206,896;-1,030314943;-5,645004994;20,30219736
207,493;1,27041747;5,739164985;31,01864344
208,090;-5,354095735;0,728362921;37,71558106
208,687;-16,51991584;3,943662227;25,71263971
209,284;-13,9251716;-4,792626479;27,24457974
209,881;-19,71588453;8,764748895;30,46971893
210,478;-27,2973645;-8,249602642;15,73770554
211,075;-37,44174009;-7,995399159;-6,062717708
211,672;-43,16338641;-21,51898831;10,96438418
212,269;-67,34906433;-31,18311556;-0,131523015
212,866;-67,29645928;-51,67512677;-8,452867147
213,463;-61,0784272;-46,59999902;7,826439765
214,060;-51,55905566;-45,3435654;7,938929562
214,657;-69,15691728;-47,19535337;16,82344482
215,253;-73,52845453;-79,16006274;-0,090910311
215,850;-63,49720477;-56,43007385;11,66290498
216,447;-55,65337132;-63,62379068;27,42601799
217,044;-46,2977007;-54,00812681;14,80273136
217,640;-25,49109176;-36,35036604;24,00899729
218,237;-24,29280254;-35,21836377;23,66237414
218,833;-37,26591935;-55,9999999;8,023824842
219,430;-35,94956212;-54,28985449;14,9350643
220,026;-21,00569765;-49,52044325;18,54697785
220,623;-18,47672704;-40,06074074;19,94826031
221,219;-17,5401817;-42,00171096;15,07069593
221,816;-14,95121877;-26,62030679;4,861923088
222,412;-19,22881668;-30,33054016;8,934842335
223,009;-21,95524216;-25,01846755;-0,833056741
223,605;-19,79663808;-15,23059668;10,02190663
224,201;-8,294025615;7,662042041;15,16113297
224,798;-15,04986465;-3,99029978;5,451399537
225,394;-19,86499493;11,86481315;6,881243506
225,990;-7,329444392;5,264331785;9,898762332
226,586;-11,66296054;16,36205379;18,77365535
227,182;-16,98458204;1,940891012;17,8562423
227,778;-19,06976813;3,813757491;29,33646667
228,374;-18,3197525;-8,559301947;28,46534682
228,971;-46,66175048;-9,892580739;14,72282226
229,567;-67,8451222;-30,12500092;13,64754001
230,163;-46,62241476;-16,55136979;12,68683937
230,758;-53,12636397;-30,34415733;-2,275448593
231,354;-56,35464576;-12,27926037;-0,313916697
231,950;-42,52528894;-23,830735;-16,07872169
232,546;-42,1593845;-17,99263004;-9,638123105
233,142;-27,75786722;-25,61387819;-35,79460308
233,738;-28,09034883;-13,8786544;-27,30299816
234,334;3,695975578;-0,830341595;-0,770713597
234,929;2,911593775;5,057415657;-3,487614307
235,525;-3,693443926;-4,837640364;4,119850232
236,121;0,13336284;-1,140776586;4,802914474
236,716;-5,479131866;-20,18063674;0,768935376
237,312;3,470031275;-7,983539128;13,68953618
237,907;4,038138223;-7,796965504;2,909418486
238,503;-0,932977905;2,056419537;8,885714666
239,099;-6,024524536;-10,21643021;14,67787192
239,694;-7,381465777;-9,933082731;13,51498605
240,289;-6,313457715;-10,21557584;19,13284606
240,885;-5,656387412;-1,376399588;26,06634968
241,480;-0,341403409;-3,906522928;23,73225173
242,076;-0,31620567;0,392646671;27,88576869
242,671;-10,04321499;-5,371828754;26,24802917
243,266;-1,18103362;6,720341391;40,17374819
243,861;1,719576989;4,425212552;37,16137929
244,457;1,078074347;17,3249847;28,85212028
245,052;-6,09146123;9,454930634;21,96707066
245,647;-6,993498239;15,45000889;19,23922513
246,242;-6,070701242;13,8085544;21,38728373
246,837;-8,673368775;15,34475847;24,17829794
247,432;1,045044704;15,97195216;26,53990777
248,027;0,069783856;15,65656515;24,77750837
248,622;-7,417923713;-5,090019838;21,48502829
249,217;-3,919134857;3,826745091;24,71058756
249,812;-5,649409724;-20,31007796;21,01866904
250,407;-7,078367736;-19,87000964;26,17974936
251,002;-0,759493727;-23,48892258;34,98297434
251,597;0,350165789;-20,13715751;32,22872066
252,192;1,189106254;-21,22962525;32,32993549
252,786;-10,84178056;-16,85230987;22,68091239
253,381;-6,669787244;-12,56143096;26,18418037
253,976;-4,332048254;-9,436834341;20,3519675
254,571;-1,085031047;-19,63355821;25,55327273
255,165;-2,595601224;-6,354248876;24,25876079
255,760;8,30605584;-10,65343593;21,95442594
256,354;8,552357217;-9,064097471;15,72103938
256,949;19,7596804;-8,384979972;19,53300525
257,543;14,30876823;-6,882048854;18,59194806
258,138;18,93452109;-11,71641771;21,05263132
258,732;22,41655822;-12,47397328;15,59816246
259,327;25,85096666;-6,191833152;28,67855527
259,921;20,1506598;4,84984148;32,19578773
260,515;25,62510223;0,686202173;35,59418257
261,110;16,66137155;10,51419756;31,88788839
261,704;14,89757957;6,691042242;31,63350683
262,298;5,302262936;12,7782364;28,46856375
262,893;9,370037381;11,4955362;33,1343815
263,487;1,029962432;10,64522693;35,62797479
264,081;-4,776759681;16,45199098;40,87114361
264,675;-18,13787381;20,46917259;29,4818467
265,269;-11,89320378;15,3911212;28,73939651
265,863;-1,349040551;29,63922745;37,76046442
266,457;2,489626524;21,12086148;41,23872782
267,051;-4,248366177;22,53196243;36,90883512
267,645;-2,0090844;7,589285829;31,17238449
268,239;-12,30795772;10,29126166;24,23381346
268,833;-3,665574781;11,66340534;20,05247382
269,427;-1,760405656;14,58692702;21,49712162
270,021;3,445611637;7,88350957;18,12234778
270,614;-3,045768587;14,84467169;13,15653568
271,208;-12,68719436;-2,182258983;4,789741574
271,802;-15,45708374;10,20408125;6,780858138
272,396;-8,981498125;8,906799165;6,451026843
272,989;-8,150414008;22,58127318;7,061099191
273,583;-1,848333314;16,40347415;9,525357105
274,177;-1,354482774;28,19047681;12,76209367
274,770;-3,555086154;16,50627626;10,30402322
275,364;-6,549073427;21,59982564;14,3287374
275,957;-3,345530419;10,43497889;13,92016339
276,551;5,255329779;29,68430566;15,63602871
277,144;3,767303343;16,21993101;10,19917567
277,737;-0,325565391;21,79759495;13,79194069
278,331;-5,467340143;13,75131761;14,10804497
278,924;-7,161175959;23,67239166;13,06542434
279,517;-9,998012126;12,28652665;9,685642042
