Filename-->;PET_OSCUSRO_1.RFL8;PET_OSCUSRO_2.RFL8;PET_OSCUSRO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
194,946;-2,947271262;-0,421325629;5,365213618
195,543;-2,189297471;-2,367061349;8,577951781
196,141;3,202846853;-11,85147548;6,206777089
196,739;3,125000145;-19,17963645;10,17199921
197,337;13,96877509;-25,06702217;6,892590526
197,934;7,646474852;-34,23558153;-4,405377473
198,532;3,336704104;-37,06164763;-9,602036088
199,130;-7,259317378;-31,00361693;-17,26446601
199,727;-2,737915595;-34,4341311;-11,59715182
200,325;0,841662193;-28,40437763;-4,849412897
200,922;8,556547876;-33,72423123;-4,411417529
201,520;3,279580054;-19,89153252;-8,768612635
202,117;-0,89129958;-22,34162921;-5,629852979
202,715;7,030827278;-24,04837478;-1,02653539
203,312;18,23037166;-23,16513715;-3,428110222
203,909;25,24137846;-17,09150922;7,641073054
204,507;31,85823529;-29,51028161;11,5213606
205,104;29,62555093;-27,44352972;11,57568712
205,701;32,44109567;-31,69554615;6,409495452
206,298;26,43051709;-36,71434554;6,826903624
206,896;34,17830802;-57,40880441;11,21923259
207,493;33,00368796;-63,96121994;3,373344245
208,090;24,68069176;-64,76906704;9,098428634
208,687;18,86295262;-58,94039731;12,5516111
209,284;18,67302444;-67,14705512;19,35110143
209,881;23,73534068;-65,85103702;17,24137946
210,478;25,81187068;-60,35254307;11,06253558
211,075;23,45326518;-52,16377296;14,88638421
211,672;30,20984842;-46,79158123;13,26893722
212,269;27,12900642;-27,49821164;16,4093666
212,866;33,13037971;-4,942505602;21,82353892
213,463;38,10900143;-2,056451642;17,37711267
214,060;37,21836945;6,615384989;26,66013837
214,657;32,23747856;4,616588655;24,79162527
215,253;32,45382678;2,327712632;20,50751945
215,850;33,62350462;-3,775766015;23,63564939
216,447;33,69767129;-7,606712793;19,42218426
217,044;27,08860657;-5,605920388;13,8465145
217,640;25,87673713;-14,88418929;3,925819547
218,237;25,96132131;-25,54403143;-4,701176014
218,833;26,01207571;-24,56670767;-9,080018834
219,430;28,2634262;-30,43948768;-6,802157295
220,026;26,91501758;-26,88123221;-15,25965885
220,623;23,96774733;-23,28217192;-8,033664717
221,219;20,76631947;-15,73880364;-4,342637494
221,816;14,65050784;-25,01139957;-2,534509027
222,412;21,39982024;-26,62642685;4,807285568
223,009;22,97985812;-24,21334525;4,141237205
223,605;19,73801021;-24,72579843;10,84650857
224,201;19,44032203;-35,14721498;19,29094891
224,798;19,52662794;-41,31752367;16,21563141
225,394;18,1612509;-31,42333723;19,0688253
225,990;18,93419441;-27,09710436;23,80865761
226,586;14,5350066;-23,60890318;22,72640668
227,182;24,23367322;-19,21451781;26,16987735
227,778;18,47133676;-24,64605627;24,34068205
228,374;16,43639963;-34,90513577;25,347827
228,971;14,83219802;-39,74706271;25,62137145
229,567;16,53961749;-27,06905923;14,96774184
230,163;15,37106444;-23,31255218;20,06661062
230,758;23,15837955;-22,14360482;17,02069584
231,354;22,01816449;-23,60331602;8,462664556
231,950;24,29022119;-25,76912917;5,853806569
232,546;20,09898881;-24,21962247;-20,87508227
233,142;14,03186309;-18,47085534;-20,63694075
233,738;12,69332281;-9,443463944;-15,44050617
234,334;17,84305142;-9,912927361;-10,7089461
234,929;16,16341042;-13,18544156;1,168968787
235,525;9,729461102;-20,27155785;-6,506754487
236,121;4,119095556;-22,30342996;-11,3816702
236,716;7,227746628;-23,80743989;-14,18439615
237,312;-4,693715354;-28,25924992;-20,80462968
237,907;-4,752326091;-37,84255137;2,807107869
238,503;1,77322661;-31,02189757;10,57670416
239,099;1,345519664;-36,26403172;7,379628479
239,694;-0,32342832;-35,82131789;1,483050449
240,289;0,897819201;-27,21222517;-5,290410903
240,885;-7,262683827;-10,96540701;-0,431389121
241,480;-3,729123455;-13,31389742;13,2241557
242,076;-6,987474727;-5,32364037;12,32371448
242,671;-1,024984812;-9,838187032;13,99354085
243,266;-4,526908329;7,934632267;7,169514901
243,861;-9,179475737;2,553885069;5,086603983
244,457;-16,45232864;10,91375205;11,10467367
245,052;-29,14269884;3,84158462;9,261477377
245,647;-44,45994784;-3,249567281;17,60563352
246,242;-24,3558444;-13,84883107;22,89358174
246,837;-29,66775912;-15,14121179;9,524768808
247,432;-24,94154415;-22,17145797;16,40878701
248,027;-20,56994896;-15,74001706;21,18918943
248,622;-19,90036127;-32,4657907;27,1122335
249,217;-11,36199781;-44,04473926;24,21346178
249,812;-2,579413066;-61,74731214;16,31530713
250,407;-1,351922431;-52,65776564;18,52667734
251,002;6,900168082;-55,04300449;20,04779534
251,597;8,4060915;-44,42289421;13,48571429
252,192;15,29661014;-45,64150423;16,71748108
252,786;8,724832429;-48,62453553;5,485773415
253,381;9,150189556;-42,41290703;-4,478474885
253,976;13,08270733;-43,09973909;-1,483110001
254,571;18,00677025;-38,20090945;-9,279647761
255,165;10,05148905;-23,00293801;-5,718350471
255,760;15,62132987;-20,06480538;-6,624101284
256,354;19,73327376;-14,02109527;-1,7429747
256,949;18,29077597;-19,91391613;-0,565931244
257,543;10,11500945;-6,946780212;-2,341857472
258,138;15,1662846;-10,25165603;-4,783307129
258,732;10,82635852;-21,15891149;8,213783513
259,327;23,73648453;-23,05740894;0,226435835
259,921;14,91115051;-16,56751801;8,013843969
260,515;24,95044703;-25,66470621;17,04577512
261,110;24,90591117;-25,26603005;16,88977635
261,704;9,75323143;-18,32797304;19,61860052
262,298;5,00208423;-20,37249822;17,16635581
262,893;7,829320565;-31,21631002;17,19456993
263,487;0,742804444;-31,25596926;20,59373513
264,081;0,231080487;-18,79118364;24,50347542
264,675;-7,954978612;-12,32410343;24,24526159
265,269;-11,0084369;-2,830188792;26,61977806
265,863;-13,48855881;5,593764182;18,94216319
266,457;-23,2913074;-1,795416657;22,60016842
267,051;-17,41368183;-0,337534408;12,97361638
267,645;-26,31209013;-2,318162427;10,04428336
268,239;-25,51690597;8,613636538;4,889055809
268,833;-34,95200351;14,14992417;6,809964084
269,427;-30,33369814;12,20435078;5,488429154
270,021;-28,49446911;7,981529417;8,103759816
270,614;-17,39246045;-6,430796525;0,73800734
271,208;-24,33352141;-11,9709285;7,877913582
271,802;-10,73585886;5,620941852;2,360737455
272,396;-14,14590779;9,485096039;4,907539662
272,989;5,257860542;18,35791064;3,041452197
273,583;9,562044407;4,623356104;8,640985151
274,177;14,76101191;-1,856593224;-10,20578445
274,770;18,07423223;-13,22210774;-15,650827
275,364;13,4010657;-16,66666698;-15,65262626
275,957;9,340353561;-9,638046468;-6,638455513
276,551;10,16483512;-4,247497357;-11,35190908
277,144;-9,635499528;-8,456790006;-6,983310591
277,737;-1,255605456;-17,93690976;-2,992004153
278,331;-21,93595831;-23,93299731;4,773620293
278,924;-26,42377239;-20,97062626;10,05662492
279,517;-20,2822424;-30,60095645;22,78201287
