Filename-->;PET_CLARO_1.RFL8;PET_CLARO_2RFL8.RFL8
Mode/Unit-->;;
Int.time[ms]-->;1,049999952;1,049999952
NrOfAverages-->;20;20
Smoothing-->;4;4
Wavelength [nm];;
243,861;1,119894557;42,92627232
244,457;-12,93025397;33,65853764
245,052;-18,9955818;35,10023802
245,647;-10,66563924;32,61080608
246,242;-14,89775973;38,72131517
246,837;-32,98527743;19,88689871
247,432;-20,37869774;24,81349295
248,027;-23,07692324;16,26539858
248,622;-37,55322148;15,06369649
249,217;-37,45296485;-9,043927599
249,812;-31,97217157;-0,04466723
250,407;-27,44510883;14,90559846
251,002;-39,86636997;28,84358324
251,597;-36,54519994;22,14584733
252,192;-26,71840452;37,6154992
252,786;-21,96029841;35,63084162
253,381;-27,09533;43,07199934
253,976;-2,564103452;46,73463492
254,571;-5,536431458;58,84676097
255,165;-2,053498561;58,90252394
255,760;8,734030578;66,5102926
256,354;21,15048114;55,59183618
256,949;22,04804677;48,77913585
257,543;28,00456063;48,61637083
258,138;20,58414427;49,18973456
258,732;27,73403464;36,36084709
259,327;17,4398239;38,6194688
259,921;16,3554558;38,5182714
260,515;9,441489857;30,62015752
261,110;6,494936036;25,07705102
261,704;-11,15643;33,76513428
262,298;-18,04165508;45,42881303
262,893;-33,29018655;39,85792955
263,487;-36,44400721;39,10318189
264,081;-33,94386367;45,89242371
264,675;-36,1275091;36,19224694
265,269;-30,67020744;42,74829112
265,863;-34,07488905;31,9352051
266,457;-56,93045428;30,70592157
267,051;-40,51094761;15,29061203
267,645;-48,60139502;-5,882351534
268,239;-38,28157396;-11,93726462
268,833;-47,29843666;-13,71228424
269,427;-62,63410286;-24,17168487
270,021;-77,68217443;-22,542153
270,614;-64,76500673;-35,2373268
271,208;-56,65182607;-29,24953524
271,802;-52,11542941;-45,34947856
272,396;-72,95510925;-35,93322579
272,989;-57,99147501;-32,53801783
273,583;-59,07660094;-23,39085204
274,177;-38,85596624;-32,69996748
274,770;-51,68170288;-23,22438645
275,364;-46,58166114;-34,09395742
275,957;-86,30972599;-52,55986301
276,551;-81,62923071;-50,47067195
277,144;-80,17741505;-41,37806716
277,737;-50,936109;-50,48242793
278,331;-45,71192752;-46,89704481
278,924;-42,44014611;-54,83047954
279,517;-65,55294976;-26,82844531
280,111;-51,87113195;-38,36236888
280,704;-40,25764987;-35,27484567
281,297;-23,33580751;-37,54287604
281,890;-26,4571697;-32,95718573
282,483;-20,4711031;-28,09567208
283,077;-36,92547349;-27,22567534
