Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8;FLOR_4.RFL8
Mode/Unit-->;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20
Smoothing-->;4;4;4;4
Wavelength [nm];;;;
251,597;23,25060511;14,82247481;4,906504809;26,40242855
252,192;35,27040412;17,1145445;2,735882467;22,60610322
252,786;39,88576798;17,97556668;1,511377013;13,53595524
253,381;43,2773096;13,5231872;-3,342070936;14,17103406
253,976;47,27355405;14,64707693;-4,683648881;-2,760887672
254,571;41,6873833;14,97824707;-2,926829196;4,893784961
255,165;33,42175149;16,67771925;-3,051605993;-0,942642843
255,760;31,94171438;21,77471998;-3,479881688;3,262389499
256,354;33,75815596;28,37202305;-4,446253956;2,019544346
256,949;30,37176013;18,07639845;3,881609792;7,326539489
257,543;29,36192509;16,06432719;10,61107759;10,06923584
258,138;27,84810123;23,94799923;9,681109849;19,9342193
258,732;27,50232027;25,60817009;21,75643468;27,04961499
259,327;28,78926958;22,48759746;23,45711365;37,7092067
259,921;34,65804035;27,57855711;24,19110687;28,65207156
260,515;31,18762167;24,78376462;26,27163033;29,47037409
261,110;32,55772969;27,49867849;27,30651771;29,58980311
261,704;26,24170431;22,80313674;26,33898863;35,02070288
262,298;29,0726362;29,96396668;26,06319128;37,28835966
262,893;24,98000081;28,24000135;23,81151669;43,97044682
263,487;27,59710031;23,32280218;26,26676055;40,01411342
264,081;32,51646143;24,45135428;23,63447018;39,1576126
264,675;30,14907813;28,87406978;25,72919481;42,58763633
265,269;27,95305758;23,60523297;18,98971074;44,92850426
265,863;43,74636539;32,59647098;19,1689747;47,77008313
266,457;37,35032802;25,85940576;17,68346615;49,16003712
267,051;38,05753965;26,76192297;16,00825545;45,17983635
267,645;33,20971425;25,19933189;5,129017023;43,20088575
268,239;40,72229252;32,50311444;8,200000419;33,63333401
268,833;39,66346257;30,90945426;12,14249997;34,63790196
269,427;45,59061591;33,98058442;15,31322351;33,29466116
270,021;46,3960377;33,66336648;6,115307849;27,68465681
270,614;37,72219823;31,23191169;18,85913791;31,06325309
271,208;32,96539944;33,79325112;14,05791778;33,26612656
271,802;39,27157388;34,69912916;21,8760775;36,48881326
272,396;42,98275882;36,91379507;26,8547715;44,84646996
272,989;49,87535664;32,82837843;40,19117188;43,28630133
273,583;38,03461432;24,4877658;36,51262247;48,60475302
274,177;29,97561318;31,10110449;33,68200788;44,57560972
274,770;24,5017378;30,64545596;23,26332787;42,6200614
