Filename-->;FLOR_ROSA_1.RFL8;FLOR_ROSA_2.RFL8;FLOR_ROSA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
194,946;-23,75135628;-16,79853884;-17,30708843
195,543;-37,89263375;-7,513839944;-8,253135411
196,141;-32,20228394;-18,10810913;-11,07266588
196,739;-31,31348709;-11,23110255;-5,962428778
197,337;-18,69975597;3,527874082;7,870259335
197,934;-3,827227674;11,12497459;22,72941179
198,532;-1,778496482;12,85132377;20,14264033
199,130;-4,915662651;12,8307935;16,14401755
199,727;1,061728388;15,84564824;23,16729357
200,325;1,471635432;13,68780716;16,37930999
200,922;7,599269779;11,64427435;13,45454483
201,520;-2,956003857;13,93980568;14,19270765
202,117;-7,439365252;12,90397126;9,395277341
202,715;-7,204189109;11,27950227;0,543167427
203,312;-14,32285513;3,731342806;-2,199074787
203,909;-15,73886591;-0,053049965;5,604363038
204,507;-7,422096919;3,269537769;8,953997267
205,104;-14,16377808;-0,63971318;9,160303289
205,701;-14,2181349;6,318681006;20,1666268
206,298;-12,09742953;9,139287291;18,02160403
206,896;-1,608785073;8,653026056;28,06641604
207,493;3,05738509;8,308543095;31,18653322
208,090;9,104046043;13,24803919;39,4534161
208,687;10,20137907;8,639562395;26,76837679
209,284;2,404304622;7,536876326;7,355345122
209,881;-5,607750183;2,958936876;14,83154006
210,478;-10,61130621;-2,572275234;-1,285140471
211,075;-10,33717864;-3,816975027;-21,24304333
211,672;2,698411352;-4,737926727;-0,851789155
212,269;22,14381648;8,918158927;10,01092084
212,866;35,42124185;8,393482741;16,82593948
213,463;29,55664699;1,909568965;5,070546547
214,060;23,03271937;-4,392312183;-5,012045045
214,657;28,04612015;-10,7273558;3,002661502
215,253;30,61071797;-13,46202727;-14,22037488
215,850;32,54021631;-10,4558869;-4,019238223
216,447;35,49214432;-7,185629586;-8,246073773
217,044;29,05547507;-3,826699098;-20,5152962
217,640;14,78079021;-26,90408136;-51,12876505
218,237;-2,687523007;-32,18523837;-73,07194556
218,833;4,810125451;-25,42005634;-44,69847493
219,430;11,23698707;-1,219220501;-23,84512828
220,026;30,50953488;12,48849981;-6,869317081
220,623;21,48972675;15,02266357;-0,604370153
221,219;16,82327949;20,33783849;-4,683329705
221,816;16,478614;15,9047818;1,79340005
222,412;22,50087116;9,525930343;6,679620422
223,009;14,687023;16,89679372;2,568936956
223,605;25,03897726;21,15773064;16,70839922
224,201;25,07866638;18,62393483;12,48077835
224,798;29,52041361;10,35160541;22,63029975
225,394;2,18013008;-1,267033687;10,55078684
225,990;1,015625175;-12,66275154;0
226,586;-3,906248974;-16,82595534;-10,26269634
227,182;-3,735632955;-16,66666703;-0,914205495
227,778;6,206712049;-3,854927463;2,208834652
228,374;16,84491938;5,181873849;25,5506609
228,971;4,318860941;3,60093292;20,49016683
229,567;-6,004902237;1,56569038;31,62170125
230,163;-2,493530999;-6,269367914;27,05354916
230,758;0,569865318;1,893203065;32,91518939
231,354;5,343992991;10,95406365;43,69318096
231,950;6,11541814;2,803010668;52,90463016
232,546;7,004132453;9,981368521;57,20692289
233,142;1,666666438;6,274627703;61,45647993
233,738;0,198118408;-7,534677274;46,66666424
234,334;0,657713836;-9,889066487;50,88532622
234,929;13,01495554;4,129405501;43,90243864
235,525;5,449190466;11,72222299;45,8536633
236,121;12,54786404;16,89930181;46,14280609
236,716;9,166154586;19,23076764;38,6789263
237,312;26,05960148;25,4553337;40,53217818
237,907;28,73524619;19,42533418;36,54791192
238,503;15,03046608;13,58643354;31,57090519
239,099;0,457746542;16,10085336;30,00739219
239,694;7,05550419;21,30343461;26,10258177
240,289;5,32560715;21,03228116;20,94455878
240,885;-3,323262313;15,26295024;10,35885863
241,480;-21,3595013;-0,771705317;-7,354119295
242,076;-25,40250474;-3,892842336;-13,19901231
242,671;-41,81326531;-8,722881985;-14,50883929
243,266;-51,50957086;-12,46228873;-14,62734273
243,861;-36,95045374;-7,656145173;0,734266515
244,457;-46,5874283;-17,8290648;-27,85494004
245,052;-31,096909;-23,1040072;-27,34428456
245,647;-35,02024246;-22,46168542;-17,19723298
246,242;-20,26902948;-15,10988932;-0,167279394
246,837;-0,537795821;-3,225806813;8,770421736
247,432;3,470032217;7,395418642;22,78761186
248,027;1,062175884;10,61234961;20,12717797
248,622;1,097664142;8,737596928;18,477628
249,217;-5,215879219;6,257413779;13,4004893
249,812;18,85800179;20,21531188;38,10747827
250,407;17,27425606;27,17638319;45,78313539
251,002;10,35460964;23,47229984;32,43014238
251,597;12,03971763;18,36027649;20,96057642
252,192;-1,647874857;10,87657517;25,750942
252,786;-7,188431848;5,43326895;14,80331237
253,381;15,96226287;8,273776594;15,57828324
253,976;5,16739451;12,10407136;15,30302947
254,571;6,599176347;14,11621574;18,33403236
255,165;0,819966134;16,96123051;30,15475011
255,760;1,675106183;-1,518371676;14,63223768
256,354;3,808012317;-0,672833643;7,03971203
256,949;7,208805521;0,159362395;9,987632312
257,543;13,87742178;7,565708441;10,77142758
258,138;11,70714133;-8,41829992;17,81970729
258,732;0,216920774;-5,931002124;26,22668772
259,327;23,38677958;-4,066161363;26,94300396
259,921;21,80660522;-0,810627474;22,21891883
260,515;-0,054496644;-20,22439614;0,782919413
261,110;-2,618242016;-17,01398837;6,539195461
261,704;0,16286583;-3,610629508;32,82031525
262,298;-1,377764133;6,377929439;41,60583845
262,893;6,002972624;14,82914063;47,93529323
263,487;9,856434075;22,93057303;37,26435742
264,081;19,7899646;23,69240142;34,90380577
264,675;12,18497729;25,60250526;34,96688773
265,269;15,2959684;6,559572873;29,07268433
265,863;18,59578264;12,21575897;28,98751919
266,457;12,05760297;18,94143001;31,49441275
267,051;9,249215506;7,45033082;14,81339207
267,645;3,591952535;2,376861226;11,10694214
268,239;-4,406131644;-8,983269357;1,877396682
268,833;0,089794672;-4,621953442;13,05073304
269,427;-8,875191658;-0,669809377;2,021933359
270,021;-4,018216707;-5,163636569;7,446468837
270,614;0,554657268;15,78062606;13,16010131
271,208;-3,918990281;18,39855848;13,7353955
271,802;4,345772644;23,48296017;5,884287343
272,396;13,95405736;20,40611272;13,95500527
272,989;19,74490939;23,18597216;18,05638977
273,583;21,19205172;34,33779847;23,77721328
274,177;19,31101301;33,28979269;14,76676794
274,770;10,84771934;28,14589631;22,17274991
275,364;9,89770593;26,12954804;13,93345294
275,957;6,248302725;16,56077085;14,73684397
276,551;2,328805366;16,67017122;32,14395563
277,144;5,779055074;8,481840541;44,83496315
277,737;4,901645047;17,84881065;41,40290832
278,331;-8,386409813;4,474217306;36,6493749
278,924;-13,46284937;-3,914680634;36,57862071
279,517;-12,3201999;-5,385171946;47,46389125
280,111;-18,68131809;-2,960753015;43,76535977
280,704;1,883052156;9,545855763;44,78183149
281,297;-3,487178563;10,88709672;50,56702598
281,890;4,803396901;11,58733721;33,16818151
