Filename-->;PETALOS_1.RFL8;PETALOS_2.RFL8;PETALOS_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,141;27,00693775;9,813925654;31,25616485
196,739;31,55006836;5,42568486;22,35606712
197,337;31,93457861;4,934568433;27,03604751
197,934;45,08457456;5,974093992;25,08160053
198,532;40,54010349;10,89617922;24,98323287
199,130;33,26882542;3,458353691;22,08039655
199,727;33,61688694;9,503240404;30,28550659
200,325;31,9451858;14,70792041;22,16411896
200,922;28,74068404;22,98056221;18,99609762
201,520;27,80007361;15,85391115;21,66636924
202,117;22,70381802;22,45898259;29,31281145
202,715;16,44004939;22,46675935;23,79139772
203,312;4,503265767;26,38287635;27,7106444
203,909;7,207850125;27,37515982;30,01031458
204,507;9,319503145;29,01807724;35,16235347
205,104;2,567975587;19,72743503;29,74591689
205,701;10,27936442;25,63930037;39,58148748
206,298;11,03208445;20,61050558;39,44206945
206,896;7,243460541;23,5432216;37,48581685
207,493;10,7155509;16,85714211;33,51992892
208,090;14,12818736;13,74133846;40,32485866
208,687;22,02483368;10,3676636;45,36955728
209,284;18,47863271;11,8780096;55,2871725
209,881;32,54528268;20,37777864;49,44119549
210,478;36,89679641;29,81308202;56,88311326
211,075;27,09113727;18,00913783;49,81839887
211,672;26,89269262;24,98779757;43,80066501
212,269;34,11479317;30,73132779;49,62546517
212,866;28,36633048;28,63528113;40,56346613
213,463;33,17693277;30,2491985;25,98424817
214,060;29,49693992;18,51482748;30,50897246
214,657;38,09983798;18,82915186;19,89311326
215,253;33,19013379;10,700163;22,664071
215,850;38,99793205;6,592899958;15,81861362
216,447;41,38110075;11,05837636;26,83465925
217,044;40,64552507;3,382213771;27,1916783
217,640;30,10481382;-5,078627793;21,31117152
218,237;31,41191677;9,789525757;19,20093147
218,833;28,41382061;15,85698546;20,09794592
219,430;31,23179268;22,47160729;10,43326231
220,026;26,64946541;19,69602944;12,32401565
220,623;23,87758912;23,91594525;5,199827864
221,219;12,68057777;20,58057068;4,136885724
221,816;20,02915997;31,14698125;2,168396934
222,412;21,80711062;33,24356809;2,1178634
223,009;26,465532;33,66282546;4,985718863
223,605;27,39342023;27,96377568;16,09363556
224,201;33,86192577;14,45355215;10,4905659
224,798;27,0615749;21,90247642;17,77892302
225,394;29,66855172;17,63170358;11,96102404
225,990;28,00449913;12,40486949;20,32265766
226,586;35,64870917;9,974365307;22,17752753
227,182;31,340105;0,280899344;20,84114625
227,778;31,68556064;-7,918227152;16,4864866
228,374;29,78307346;-3,434344871;20,69940864
228,971;26,65809238;-14,55004231;11,00186129
229,567;16,98924739;-16,77067147;22,21425202
230,163;23,71584746;-16,32902027;15,07083582
230,758;24,68062392;-2,763958166;20,75980389
231,354;31,36505736;-1,634159519;16,4023931
231,950;30,85619215;14,2114841;15,31431064
232,546;36,76419869;18,93714612;13,59408463
233,142;29,2199071;29,04199909;13,64351604
233,738;35,83406839;38,99831;14,33840387
234,334;33,07421722;49,79643685;21,26064015
234,929;33,77060781;53,52612897;14,03789095
235,525;26,19660184;62,20874459;13,7126035
236,121;26,12517576;37,20728315;2,932133823
236,716;19,00106716;40,07180184;12,96073689
237,312;16,65831201;38,0311988;6,12701178
237,907;9,447004709;29,97297366;0,738916488
238,503;15,9224645;22,97430828;4,678649767
239,099;8,074856696;9,468572341;3,680145796
239,694;12,13793083;0,196078239;-12,93442061
240,289;9,790337417;12,716237;4,816752946
240,885;15,05076643;19,13427146;4,472764258
241,480;4,968944035;21,60108596;16,37723117
242,076;7,977323338;14,19497526;0,080841823
242,671;5,255286985;7,493782746;6,22509927
243,266;5,605991582;3,703705292;7,177679613
243,861;-4,038004499;-2,03545523;19,23885192
244,457;-4,955357886;0,900163994;9,62525761
245,052;-5,931321577;6,224951764;12,87321481
245,647;1,094890326;10,698286;6,600518535
246,242;-1,403572627;7,013457892;15,73748853
246,837;3,879149628;9,315265818;13,55540126
247,432;-7,524599422;13,86701638;27,19018543
248,027;-4,704219577;7,322751266;31,37888364
248,622;-2,159344786;15,82764604;36,26987486
249,217;7,30688942;20,67831488;34,30877759
249,812;9,378937874;30,32886603;48,98785487
250,407;7,662981587;22,24268393;52,65007597
251,002;9,88501507;20,58232933;51,65114058
251,597;19,06097999;25,73936338;48,3709297
252,192;14,20786301;34,41822675;44,74656882
252,786;29,48328315;41,94273885;27,6737157
253,381;28,68782951;48,93704209;35,46039866
253,976;23,60203419;41,93608831;33,86658468
254,571;17,44595284;27,8330459;34,29222501
255,165;17,70086051;20,92877935;21,72307728
255,760;20,14528699;25,10056346;31,93971721
256,354;14,07794164;24,04847685;34,89596951
256,949;9,481883079;16,48284374;39,81358225
257,543;13,18377899;10,85148452;32,4733708
258,138;12,70381655;5,761676491;40,72246399
258,732;10,2322073;2,060047434;34,31574502
259,327;19,24999981;-1,815392645;36,72734194
259,921;33,88968089;14,22714243;37,19071098
260,515;34,33427859;7,26843967;37,14914856
261,110;37,10188026;17,22993996;34,14207988
261,704;29,20104935;12,53990046;36,78473989
262,298;26,57358114;18,41073279;30,77689201
262,893;28,39110813;18,95277288;32,76076347
263,487;25,06459936;13,17797525;29,86736148
264,081;25,84431968;18,26335061;28,87565721
264,675;22,60033258;24,73227953;24,09258318
265,269;17,71918029;23,58660458;22,22815829
265,863;21,11790028;37,0304756;17,62839099
266,457;13,6490772;29,84970337;25,02176973
267,051;19,06829938;30,24084075;13,24146415
267,645;20,6935335;28,87493075;20,63578877
268,239;16,29133648;33,5447391;25,21141819
268,833;6,823438843;39,7455717;35,58989513
269,427;7,407407391;36,86267683;36,25285428
270,021;12,18750025;34,59767922;46,29629706
270,614;9,583086418;42,35701749;45,59953745
271,208;2,240361379;40,23100855;48,13453286
271,802;2,024786266;36,73590425;41,76950888
272,396;6,557118668;34,35237366;52,22159371
272,989;8,005123361;37,35150309;48,17309409
273,583;12,10578235;30,70378832;53,1825939
274,177;22,31334362;26,53135154;48,89507892
274,770;17,23422707;27,21815824;41,22220364
275,364;11,47983792;32,28724466;33,59081346
275,957;12,36877319;29,61847158;38,03531391
276,551;16,80690942;28,93026589;36,86732842
277,144;32,05404379;34,0127605;38,2389288
277,737;33,91304455;34,80136468;30,28310347
278,331;28,33764054;22,71200684;39,00647288
278,924;34,32535124;24,17231869;38,32759341
279,517;18,07809207;22,08425833;38,59996538
280,111;23,18734699;22,67814188;48,28172164
280,704;19,76512365;22,58744221;53,61884977
281,297;11,87203791;16,48501361;50,98533421
281,890;11,26490633;11,00586302;56,80819908
282,483;5,805377888;6,363191395;60,13498833
283,077;8,937033708;-6,91990604;57,5109135
283,670;21,86763757;9,459130838;51,54377601
284,263;1,482478384;5,593551696;44,87695617
284,856;8,229585481;15,78947387;34,58969502
285,449;7,932406406;4,736725724;32,92505935
286,042;13,34586411;-7,869355522;21,63204121
286,634;11,27560223;-10,44776112;29,5212769
