Filename-->;PETSLO_ROSA_1.RFL8;PETSLO_ROSA_2.RFL8;PETSLO_ROSA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
195,543;16,95906385;10,53945767;-11,75991899
196,141;29,02558795;11,87827958;-13,15505733
196,739;28,39925719;4,094928581;-6,454316427
197,337;17,21980264;4,042135424;-20,86314396
197,934;14,29056188;8,390143091;-9,774266265
198,532;3,757827827;15,79575106;-7,769423534
199,130;-4,251143916;12,80143847;-8,423913281
199,727;-11,41045904;18,44289994;-9,861932413
200,325;-5,646630231;14,16833174;-12,06737431
200,922;-9,354838055;8,827845296;-15,78321756
201,520;-17,42926868;8,400460045;-14,23086663
202,117;-1,2282497;12,99231521;-19,84793002
202,715;-2,83649982;5,474861259;-2,064408785
203,312;-0,711132911;13,28027826;-13,09729507
203,909;-4,382470581;5,294790718;4,502304928
204,507;-6,664657566;4,165583914;5,134120782
205,104;12,02186031;-5,793144702;13,4104078
205,701;5,309734561;-15,2647003;19,75248772
206,298;10,33623853;-4,676145231;16,34743878
206,896;3,015720467;-4,391026577;18,82990176
207,493;-20,28740292;-4,993065214;29,43641296
208,090;-40,9071072;2,749816717;30,29743758
208,687;-8,446969052;-0,300466018;41,87082479
209,284;-1,837187309;4,883117549;37,90484724
209,881;6,364657255;-5,044901739;39,9869374
210,478;1,995305303;-6,948086298;44,54347576
211,075;23,46427707;-6,599749025;46,22335535
211,672;21,10591857;-16,70619176;46,29303649
212,269;27,92381987;-26,92532024;52,82124327
212,866;38,00093242;-29,47682773;51,41065697
213,463;58,03443613;-33,83838323;41,44796331
214,060;45,9631564;-34,77513548;28,27448038
214,657;41,24649907;-43,77038339;25,04527763
215,253;35,54672694;-42,51093921;14,30495583
215,850;40,79592954;-36,2625947;11,34441616
216,447;28,58707634;-46,13942712;10,92415391
217,044;29,63464117;-48,1932504;16,09382381
217,640;27,4990628;-29,89183632;5,948121509
218,237;21,95413875;-26,89518478;1,99596333
218,833;13,72036959;-15,86392855;0,619835088
219,430;15,27249736;-21,08196701;10,71276212
220,026;16,60239486;-20,43519326;10,29563775
220,623;20,11149156;-26,05680449;7,041090418
221,219;11,05664519;-38,77831249;3,83374462
221,816;18,43180019;-14,76612791;7,345334213
222,412;23,65930445;-1,931849166;0,926724042
223,009;29,06976693;-3,291493128;4,214223226
223,605;28,97836699;-1,625543471;1,301323833
224,201;33,42423016;-17,53764374;3,668903339
224,798;27,23446968;-9,871977722;4,129145001
225,394;29,32839231;-16,05609578;10,70624362
225,990;23,02566565;-0,309335627;5,838798719
226,586;14,31306809;2,390229707;2,895752138
227,182;-1,629007229;-9,854805603;0,944569611
227,778;-10,82603294;-21,22522671;4,927609054
228,374;-19,48562745;-15,61164812;-2,327987539
228,971;-21,68199734;-20,863549;-8,323072558
229,567;-34,90534566;-6,162557487;-16,48379102
230,163;-41,40351111;-0,033750031;-22,97332978
230,758;-37,89473608;6,731389858;-31,53781741
231,354;-23,64104127;5,588585458;-22,09405436
231,950;-10,52016482;17,22824529;-14,04525437
232,546;8,415233962;13,85818303;-11,78335487
233,142;-0,66918718;20,51023018;-9,625389236
233,738;-7,664233421;1,658826249;-0,865801854
234,334;-1,329012419;7,420578122;-1,989528357
234,929;-1,314902366;1,670645161;6,627174593
235,525;4,297726305;-5,3539714;9,384461711
236,121;-18,04979266;-17,28501585;16,52949148
236,716;-28,62305793;-20,95565346;33,8055352
237,312;-33,3863248;-28,97805207;42,93252606
237,907;-29,13283709;-33,41601558;23,93500028
238,503;-36,14372391;-33,53836282;6,812274441
239,099;-29,25515015;-18,04176384;8,508363206
239,694;-44,51048914;-48,57881453;8,992560963
240,289;-37,37035697;-43,47163879;9,973926549
240,885;-25,37926503;-49,39152416;-1,18260955
241,480;-6,742282046;-17,93292493;-19,46808711
242,076;-16,82847696;-25,89614711;-22,24304918
242,671;-8,955676839;-21,44342164;-28,21418903
243,266;-16,2266568;-18,24242529;-21,93117644
243,861;-4,647210202;-21,40209857;-17,40554025
244,457;1,282051059;-17,49116571;-22,30088565
245,052;0,841424033;0,081520496;-10,23686373
245,647;-0,364167794;3,697875444;-3,591530197
246,242;-3,635093153;7,455428926;5,102880501
246,837;12,21171026;-7,692307015;18,84207727
247,432;21,07558282;-7,615480857;7,407406529
248,027;24,1909121;-12,75719978;20,30209942
248,622;20,3947362;-3,304956484;24,27313981
249,217;20,72556133;-11,66358011;35,66027938
249,812;14,41701663;-21,60686474;28,61041574
250,407;19,60681401;-13,82795058;20,98324581
251,002;11,88038716;-17,43280455;15,64095839
251,597;16,44132001;-13,42086151;10,26259269
252,192;9,654979993;-2,014388082;4,094028816
252,786;17,76219667;9,318181312;15,78256364
253,381;3,28457074;8,796648308;0,899634463
253,976;6,726070185;5,132849506;6,666667624
254,571;8,294037519;12,68412509;-5,918562525
255,165;12,61233244;16,59024514;-3,106796003
255,760;13,90557959;6,518933238;3,250517354
256,354;16,1971839;7,651320852;-1,635770053
256,949;10,35175822;2,700963961;0,68011725
257,543;2,789585167;3,937007277;6,742640411
258,138;3,384692632;-3,297683423;3,711936025
258,732;7,677648582;1,099518496;3,961137643
259,327;9,704881735;8,909671384;-7,944358683
259,921;15,99397469;3,463633461;-6,59232605
260,515;-0,814066798;2,803308836;-1,700984515
261,110;-9,113926994;3,893636294;8,722651556
261,704;8,629646083;1,701031534;14,97975781
262,298;-3,645570613;-5,665164404;15,28936069
262,893;-8,560925518;-1,313268255;18,16391786
263,487;-25,15687112;-1,316108874;22,3180319
264,081;-18,79619829;-3,413237056;17,8884934
264,675;-9,777102399;-13,20808486;23,82988289
265,269;-31,28916602;-15,33651331;26,75388964
265,863;-9,045015996;-15,01511494;23,71109066
266,457;-5,003450628;-6,487916284;13,98252116
267,051;-14,23423457;-1,860463259;8,434344108
267,645;-18,6618571;0,810812927;0,442477839
268,239;-34,87544349;-10,75857053;-7,887161574
268,833;-29,20146841;-7,841865059;-5,004147376
269,427;-15,80806601;9,983360843;9,290629331
270,021;-22,76712251;8,383928941;9,51586005
270,614;-14,72553082;10,16225542;11,84923416
271,208;-18,06520531;9,38383173;4,73897639
271,802;-8,850973103;6,775701391;15,07755455
272,396;-7,903601619;13,02960098;23,97365617
272,989;6,335939815;14,70000125;25,81379528
273,583;14,84869797;17,61129291;14,15655428
274,177;19,82888677;25,9473993;8,143652356
274,770;10,84096213;12,0362009;0,557668869
275,364;22,43150769;18,97682611;-0,214420292
275,957;18,66367043;20,2705429;0
276,551;22,28590683;21,01105642;9,31321674
277,144;14,75609862;13,41520988;5,360227939
277,737;21,48098986;11,44200535;3,636869366
278,331;13,9072862;17,2859441;-2,058823394
278,924;21,3913062;19,73652344;19,60833205
279,517;8,583943276;15,12893983;27,82683726
280,111;12,57627978;14,59619182;29,72390059
280,704;5,6395216;9,333335639;29,32123104
281,297;6,579595688;5,396287112;28,31570378
