Filename-->;HOJA_1.RFL8;HOJA_2.RFL8;HOJA_3.RFL8;HOJA_4.RFL8;HOJA_5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
214,657;21,36536082;28,87461461;58,35398936;-5,73366284;37,76412641
215,253;25,58654115;35,58139456;47,25543315;-22,18430164;36,74534302
215,850;19,31892626;24,23374456;35,28591412;-11,84422326;38,89041448
216,447;19,46101056;31,30599918;37,3354257;-21,57744238;41,52856835
217,044;20,93023177;26,46187;59,81804122;-4,770255087;44,28371367
217,640;27,14193529;36,43835654;68,93632486;-1,110725404;33,14770446
218,237;33,30457314;24,33313545;63,11123757;-6,940408049;29,88446958
218,833;32,98662909;40,07420959;62,48960064;-3,63570846;30,38136549
219,430;12,0693595;32,12369035;53,11556171;-12,53627349;36,535821
220,026;8,919177558;34,93975965;57,14717277;-12,70247287;16,90059894
220,623;5,910461755;32,32128992;67,78458882;-4,039886997;15,66172728
221,219;21,98462327;42,66458156;70,74275813;3,754358327;19,99999883
221,816;18,28922403;37,54909601;71,85016963;11,08003452;18,42357484
222,412;11,42054775;40,17297287;60,55198998;10,73102228;19,11884817
223,009;8,03484892;37,86029639;45,38851149;15,12079439;17,34280024
223,605;12,53245226;36,57548216;33,76528012;18,79883836;21,23335552
224,201;17,46949281;28,76373381;33,32515502;13,29099608;26,24936755
224,798;19,83266867;41,12880009;37,99392202;12,06543949;9,623949471
225,394;14,79999968;37,07504803;39,1660284;12,83872539;19,9847447
225,990;26,57193072;45,18900262;32,99541323;13,30105365;22,56624698
226,586;12,13127624;37,78175161;33,28940374;17,54385984;10,51719053
227,182;10,56994788;47,69283518;27,3830597;22,06747078;17,79122444
227,778;10,9147841;50,04784753;17,11292192;17,01631772;21,76223776
228,374;15,54690701;47,39370571;13,81852964;16,88438869;22,86342208
228,971;5,191543127;43,68117469;26,50564601;12,75125626;36,55091135
229,567;0,820944706;37,47454401;25,70317476;19,80257093;38,21847622
230,163;-0,755208344;23,65756584;29,964992;29,13788561;54,7437981
230,758;5,089374857;31,99645902;32,17708833;24,46127183;40,07375584
231,354;-11,1194223;17,35706942;43,01290408;29,65616154;29,66895812
231,950;7,626924166;34,31537588;42,15872812;16,86934878;35,92942236
232,546;10,72961348;38,01599976;46,5987162;4,939920092;20,45161563
233,142;14,23465119;37,99043127;51,94598625;13,21859007;18,53693297
233,738;5,905241838;36,41698286;59,99999801;7,778488577;30,2550887
234,334;19,98611957;51,77890815;61,66764315;18,3988342;12,49531152
234,929;17,6443204;58,9768039;61,84676079;12,27586315;10,25792999
235,525;19,36314714;62,28539127;54,00398591;-11,6605918;-1,574803205
236,121;22,60365452;57,31422203;55,72849097;0,434781635;11,42487019
236,716;31,01636688;67,54226949;53,48578882;11,10312567;17,62763461
237,312;17,88337878;43,98164456;52,01481231;10,72179579;22,5261474
237,907;31,54831085;43,12500109;46,49014719;22,1137535;38,41689743
238,503;23,1400852;38,40486855;48,01682536;22,00409291;36,0428741
239,099;35,89684013;59,81503899;46,9863006;23,3298562;33,17202785
239,694;31,46835447;46,81411195;54,92874235;-2,632911639;32,82674565
240,289;47,17248939;53,21795442;52,03960571;2,366175409;34,52807875
240,885;42,48554666;50,71446438;57,47891686;-0,790378279;43,35914175
241,480;40,22955516;52,85285066;56,6247073;-3,760746263;41,70428601
242,076;25,09868199;47,13911146;49,21841244;-14,46637893;40,06202701
242,671;33,59181086;60,82948997;46,43359989;-25,84847586;37,87191202
243,266;13,42348249;54,46261936;53,24641777;-27,93939378;33,30733269
243,861;29,53716595;48,81033469;51,87597694;-40,33353971;42,70833007
244,457;21,01910791;28,90962912;45,80794743;-35,57324799;43,49424168
