Filename-->;ENVEZ_1.RFL8;ENVEZ_2.RFL8;ENVEZ_3.RFL8;ENVEZ_4.RFL8;ENVEZ_5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
214,657;57,09410143;29,2428211;40,63214812;30,95406608;49,56132144
215,253;67,28583365;26,70794126;42,41701521;28,48797182;48,2319638
215,850;58,67332771;26,47809135;46,92737212;32,56406262;51,43306702
216,447;55,75678922;15,40866594;42,24772692;27,90850971;53,14373755
217,044;44,57046247;17,40991209;44,46130627;24,30018908;50,94703691
217,640;56,10591425;-2,527074366;50,26123022;28,02732903;48,29338001
218,237;61,08003596;4,791346534;47,22000018;25,52907713;55,71955458
218,833;69,52130937;7,459909807;47,94050411;17,53808913;53,34519402
219,430;65,6704356;7,660285418;39,71038052;6,499536387;46,7151869
220,026;68,0683338;14,95240033;36,81188052;10,4245037;47,69288211
220,623;62,20126706;16,22334112;38,48490951;13,80603382;55,61004407
221,219;65,57564089;20,4673108;36,91820363;18,98799402;55,44835289
221,816;65,53310559;27,04626311;44,59009568;20,08546953;56,04184638
222,412;67,39167009;18,93889831;43,29795486;10,72598882;44,00173777
223,009;65,27336968;28,35909554;44,69747452;12,50821892;47,21189948
223,605;65,90003635;25,41267384;43,07919963;19,15664471;46,69883865
224,201;63,1758664;21,34146315;45,49677627;21,25738056;44,94260098
224,798;60,96465785;16,43391962;47,79394616;34,94299415;49,46385859
225,394;57,61269365;12,60570351;44,18814793;35,49438593;57,48291762
225,990;63,78881819;-4,071302448;41,53284545;27,0597425;47,97074117
226,586;69,31608084;6,819101995;36,8798944;19,04356923;41,97147064
227,182;74,1136092;3,332668949;29,7279799;23,12950876;48,97083781
227,778;77,65796979;12,46623772;22,45489157;36,55391376;54,8728312
228,374;79,62962952;13,64117819;20,17097655;42,3688865;54,15037261
228,971;78,64253569;20,08733543;22,26532087;38,65677318;46,82057696
229,567;75,51567704;23,57278429;23,58237628;43,85086991;49,97382544
230,163;79,91837204;29,61469692;20,43192451;42,63175193;48,50852248
230,758;79,79817712;36,58481672;26,03272133;37,44363118;49,82669015
231,354;78,54406387;45,39007098;23,43286709;43,37196326;49,60451918
231,950;80,03961236;34,23988858;27,26669417;44,89178712;55,38536394
232,546;74,29466829;35,04695115;22,28639751;43,05118351;57,05861118
233,142;70,16279007;32,62806249;17,40932775;43,65888169;56,33928332
233,738;70,23001082;31,96721355;15,89630286;34,04426075;46,69711907
234,334;68,00085625;15,07853409;18,10253297;29,91452864;49,59176419
234,929;65,99952861;3,47903527;17,01631865;22,91520827;48,97451162
235,525;66,12491334;5,521984192;22,45308258;20,08662812;50,28746699
236,121;66,21545325;0,745776227;26,78605947;19,41817176;42,64925324
236,716;64,97277238;1,203006939;32,59832895;21,38001331;49,5913816
237,312;59,44871921;5,370569163;30,40271157;24,44955712;48,62211949
237,907;55,19390518;9,467453056;36,49084939;25,30976293;41,32981261
238,503;50,11563379;0,510913863;40,377615;20,92657254;43,40551231
239,099;40,53605318;-7,409837071;41,49195665;26,77202259;48,99799761
239,694;40,59089686;3,407270399;40,57296567;28,46645406;47,83741304
240,289;36,41025581;20,31014624;29,61726216;33,37308104;46,76903106
240,885;26,85650745;19,99088125;16,67405965;31,88738748;44,65192555
241,480;27,30061068;10,15696792;13,43910361;31,27850377;42,81486559
242,076;16,45787313;9,1012245;8,632107534;18,6254822;38,64864829
242,671;13,89183322;1,930815265;8,316782834;19,52892006;39,01803997
243,266;9,033780164;-7,973602756;18,30120656;15,72285159;38,52521934
243,861;9,309791966;0,419028068;24,2265048;12,57076235;34,96247199
244,457;20,45749921;15,74178872;14,26592796;12,98485481;38,17984315
245,052;24,55029202;18,01283297;4,887071812;21,88089818;39,83754551
