Filename-->;PETALO_ENVEZ_1.RFL8;PETALO_ENVEZ_2.RFL8;PETALO_ENVEZ_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,141;36,37961421;26,67231283;5,910653299
196,739;35,15037498;22,63814619;13,14852319
197,337;33,49971219;18,67443878;5,590690421
197,934;28,19051611;26,89357603;4,422541628
198,532;37,49999849;30,45711189;7,737593372
199,130;30,13885834;13,49889391;10,94829858
199,727;23,07692292;6,17695999;10,34388766
200,325;22,92907274;-0,827653928;15,68467026
200,922;13,0227624;5,105713739;21,36100908
201,520;17,35969641;-4,646464029;27,73866369
202,117;21,76211594;1,364615514;26,28336793
202,715;24,95379065;12,24154193;37,05227325
203,312;28,77992071;12,02505324;38,46337597
203,909;23,40611159;5,899895027;39,07353561
204,507;33,23204601;22,64266816;40,88310685
205,104;41,09901188;29,45330294;42,06291208
205,701;46,82274471;32,20338956;37,3374396
206,298;47,90066463;23,14441464;41,03328266
206,896;41,34092041;19,90402262;35,96448707
207,493;36,08197449;19,90024719;34,64052256
208,090;24,60871653;8,653846258;29,42226572
208,687;29,6850829;-2,468086505;29,16598153
209,284;21,21945202;20,50014509;26,11325838
209,881;23,80744702;22,65288546;24,7011957
210,478;27,81514427;23,36613755;18,85390166
211,075;26,89813851;16,2272366;21,13001445
211,672;22,91983666;24,09539498;14,43102358
212,269;19,56043823;30,68924736;17,59647232
212,866;18,58817821;31,29183993;23,66782119
213,463;22,02776216;33,8293912;33,03941896
214,060;22,05188677;40,43364232;32,6343367
214,657;37,49620073;29,29525571;37,54036667
215,253;28,16274983;18,43789995;27,1821138
215,850;27,11019735;19,36999276;29,29293076
216,447;19,77103709;28,02562798;23,91625607
217,044;28,421703;25,88262624;33,14047698
217,640;27,50520261;28,45878044;31,21715486
218,237;16,87786515;17,86600356;25,47398194
218,833;29,65593943;27,09322683;23,30115057
219,430;23,69394422;17,21640927;26,94500637
220,026;9,357325828;21,8148704;22,13395922
220,623;11,44994261;22,67593396;30,52551642
221,219;-5,378892706;29,20309816;33,81323805
221,816;4,408944359;24,70173254;42,55319054
222,412;-10,56359031;32,97372135;38,7310811
223,009;6,698281054;35,08937237;42,9767037
223,605;8,242073709;41,60117949;46,20137567
224,201;6,755933197;35,51145329;46,59267496
224,798;19,07565127;40,88087551;41,2182973
225,394;28,98759811;30,98591738;42,93693324
225,990;38,12046928;29,97957006;36,0290966
226,586;47,50689227;25,69700128;41,54126991
227,182;36,070768;35,45875172;32,03052678
227,778;59,11142983;25,53763348;26,54205508
228,374;51,94321652;21,94322928;13,35170353
228,971;64,48192821;2,516256447;9,55011817
229,567;51,45843316;8,245242995;3,935599271
230,163;56,27896087;-1,655934847;9,805079606
230,758;53,30396515;8,254993082;9,334889336
231,354;36,21689512;0,796080991;16,49143835
231,950;31,54193925;-1,043705035;7,515472418
232,546;42,15123206;-24,02957386;7,587028034
233,142;26,38522222;-31,53260972;20,5486971
233,738;19,91034621;-36,43377987;29,84732912
234,334;32,326172;8,174770872;22,50000039
234,929;30,25316323;1,481725495;21,80991264
235,525;0,187093233;11,74716868;13,34962242
236,121;-0,115076344;4,148606459;11,48075624
236,716;40,90042389;6,340579142;-0,868403583
237,312;44,89703125;0,895008767;-8,486293371
237,907;44,77726394;-0,757316247;-17,09832198
238,503;42,70920975;-0,641266308;-23,47894058
239,099;45,03555027;7,895639315;-12,15843571
239,694;35,35924106;-1,43758881;-6,114198493
240,289;31,85895894;-1,691929438;-17,95216327
240,885;32,05574977;15,23157997;-19,48316853
241,480;27,9087589;21,92982232;-16,74164717
242,076;16,67712865;27,24757747;-4,853420617
242,671;20,81000302;25,10801718;-1,799187199
243,266;16,75305793;27,77777968;9,452015436
243,861;13,19158091;32,74106192;5,6583531
244,457;9,340541008;25,48560677;6,942053368
245,052;6,963916629;32,64965326;4,044721909
245,647;13,79744199;37,41870961;21,75191078
246,242;15,54487089;31,28255833;21,7505246
246,837;25,88189508;27,30314088;24,19731387
247,432;26,32586805;33,67956392;14,17475818
248,027;21,08216509;42,41596046;11,40121844
248,622;19,44340612;39,34066079;6,267180735
249,217;23,62537699;21,71988852;10,48022537
249,812;27,8656959;25,52190471;-2,111873395
250,407;30,75175753;13,38451337;0,626068197
251,002;34,83938353;21,95535751;-1,365464055
251,597;43,95569572;15,44771148;-18,67088594
252,192;30,59676919;36,38337374;-24,25239454
252,786;39,87499941;28,72788649;-13,76120082
253,381;51,39146673;15,14305423;-7,875616838
253,976;64,00304248;15,86108126;-12,5692631
254,571;59,53375477;35,1528393;-30,82539847
255,165;55,27259616;43,08331186;-21,2252451
255,760;36,2517577;49,31347335;-25,74510506
256,354;36,00682755;42,88927719;-37,80487588
256,949;29,86567387;45,32772541;-31,01147595
257,543;13,66168416;30,08453427;-21,30073095
258,138;15,17146946;31,22420934;-31,82903576
258,732;15,80107928;29,50160699;-32,52779152
259,327;-2,208202056;34,46026218;-26,77919706
259,921;-3,973869626;33,16158204;-17,56938156
260,515;-3,916992126;28,4752893;-32,05346457
261,110;8,823530744;24,29186519;-33,9034197
261,704;1,572770846;26,34093322;-23,14678607
262,298;8,181817491;19,21070496;-20,9165384
262,893;25,64049876;28,9494319;-24,6619132
263,487;28,85720344;22,78613156;-12,87496784
264,081;22,75608438;32,08128185;-3,866432152
264,675;32,118946;31,99378196;-5,311202772
265,269;33,01685851;34,05927457;-10,39886159
265,863;25,35940243;25,10845899;-0,192724633
266,457;28,77854307;16,4832415;-1,298399626
267,051;31,64420354;22,23092979;-4,426401204
267,645;29,16302545;23,41475906;-6,074881542
268,239;28,74008218;28,91254243;-1,115241665
268,833;25,07386203;32,21205793;-6,737787506
269,427;28,66284459;14,09825072;-15,94505713
270,021;36,14163824;15,31206808;-7,949671946
270,614;33,12129946;17,893066;-8,005910172
271,208;45,80433865;26,29914147;-14,65617657
271,802;42,00866136;33,88409331;0,777897023
272,396;39,06916988;26,72811267;-3,692539175
272,989;37,18913986;29,46383428;11,17604177
273,583;38,93881259;17,62682647;2,198596906
274,177;40,77060943;9,118310583;7,665430216
274,770;38,556446;25,05672615;4,492939843
275,364;31,95402374;26,61434271;12,19059331
275,957;39,33054504;24,00255251;10,32028375
276,551;37,28356184;25,78320641;21,07781987
277,144;36,54600998;17,304434;11,08764549
277,737;42,79329852;15,7168771;15,73448129
278,331;37,01519676;4,592831208;7,671460639
278,924;33,27974402;3,085881759;13,59968511
279,517;27,91363666;12,37876387;12,03173277
280,111;39,06181694;9,764674628;21,2733921
280,704;36,45856726;-0,328766819;15,34543821
281,297;31,4967628;-7,505737659;8,857760056
281,890;22,51345433;-3,824272779;-3,720595597
282,483;17,80752827;-2,954082011;7,881295173
283,077;22,11734675;-13,01392274;-2,152047451
283,670;29,74781195;0;4,97825028
284,263;24,04935651;-0,2745345;0,676183749
284,856;32,9443693;-3,378590613;-3,553298862
