Filename-->;PETALO_1.RFL8;PETALO_2.RFL8;PETALO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,141;-14,18935822;25,08373743;12,80824406
196,739;-8,175765337;20,98604497;5,686914354
197,337;-0,974658898;17,97429865;5,784970813
197,934;-8,202210573;10,2795464;-9,449502107
198,532;-7,556759725;11,37099661;-8,399999382
199,130;-6,91123438;14,03320795;-9,590792906
199,727;-16,02941309;15,4719126;-9,37869195
200,325;-22,60971676;9,418225167;-15,05462255
200,922;-15,31791781;13,85655392;2,577692463
201,520;-2,69636659;15,44248656;8,244112359
202,117;-5,076142571;22,37252884;23,23872207
202,715;-24,48163132;22,33075749;19,90036038
203,312;-17,15379202;29,22346345;31,69515822
203,909;-17,7664975;27,2146679;32,06214744
204,507;-29,74947669;28,24834702;30,23372944
205,104;-28,93347345;21,36098229;28,21596036
205,701;-34,64211265;29,18134731;21,49042836
206,298;-42,81356123;21,55663449;16,09663404
206,896;-49,7278919;18,92385921;16,02237989
207,493;-54,29071819;13,03498147;4,553503578
208,090;-26,54842482;26,75159156;13,96559545
208,687;-26,44384883;23,99527032;3,082283359
209,284;-30,53700362;21,63289733;3,49383337
209,881;-40,32659872;13,00737968;-11,89205269
210,478;-39,20716844;14,87700755;-6,393931503
211,075;-38,08614953;9,920347135;-7,690032212
211,672;-31,20023431;20,0905217;-6,687898208
212,269;-19,4991045;25,50480979;-6,458151697
212,866;-34,10596026;19,76541039;-6,37473886
213,463;-52,87122037;8,308033852;-25,63338188
214,060;-60,01456559;6,803663342;3,694833738
214,657;-40,82840556;11,64329039;8,943329504
215,253;-20,06909586;20,80939259;21,07781341
215,850;-10,4970843;21,63713589;16,59414073
216,447;-3,199117643;21,77472985;20,42682928
217,044;9,273820543;23,83029402;24,62907965
217,640;1,031894989;23,59217615;24,18344437
218,237;11,21754496;18,73278126;17,60716896
218,833;3,433922652;17,96430732;12,51203073
219,430;2,582644691;10,21326529;-4,706430689
220,026;-3,749300382;16,51302594;-5,094726003
220,623;-2,770487481;16,28244735;-7,396449911
221,219;-9,000957407;21,04398551;2,34415267
221,816;-9,953024296;22,38113534;1,203807898
222,412;-40,04984184;13,69834163;-16,99346554
223,009;-36,15200165;12,01428298;-16,9352295
223,605;-41,3102525;16,77309209;-12,68781373
224,201;-18,14307445;22,11864622;-3,09839154
224,798;-18,14262007;27,68106658;7,146160368
225,394;-20,67998419;19,06852125;-3,501761849
225,990;-26,88697146;15,89610251;-9,220057222
226,586;-16,14950652;-0,629832123;-23,10374917
227,182;-22,81654685;-1,747976821;-11,02444032
227,778;-8,391038885;1,860725702;-4,825950329
228,374;-2,192307292;-2,954418516;-0,827514829
228,971;8,671214855;-0,946285179;7,175862946
229,567;-15,80706654;-10,00536511;8,103017631
230,163;-11,7161744;3,174986731;5,721024094
230,758;-16,90496233;6,985447683;9,641080201
231,354;-22,90606253;-6,977818638;6,205674252
231,950;-12,64582369;10,87323948;24,32622519
232,546;-8,545454248;12,33118014;20,07015901
233,142;7,778637612;12,01206565;26,85330502
233,738;-3,71953828;5,268955261;15,20331512
234,334;-3,487544567;5,172413727;17,7033488
234,929;10,03164575;7,454033769;16,86746963
235,525;-5,606213991;3,030853214;13,6001927
236,121;-6,965174378;-1,836945523;8,385998555
236,716;-0,523712504;11,57072106;14,01383999
237,312;-32,98710682;-3,903975651;-4,034228941
237,907;-24,35858461;-6,755397968;2,307882452
238,503;-40,28463531;-0,1036261;-4,954728737
239,099;-14,90275247;15,18218635;13,8102825
239,694;-18,63574389;16,81186746;11,13198623
240,289;-22,13953543;9,740933633;16,34536983
240,885;-1,724137602;17,08951618;21,68738459
241,480;-5,519388106;17,60761374;37,84742753
242,076;-8,252427271;18,45914007;41,76877939
242,671;1,865671737;23,52243442;45,75011953
243,266;-5,96120893;17,15154999;41,75395807
243,861;-6,818181706;11,9155898;39,41658633
244,457;-26,96787877;4,56852787;33,56461301
245,052;-35,08713131;7,7524166;23,70891896
245,647;-24,35167582;10,12412701;15,25805797
246,242;-25,99206364;6,271419757;8,905174101
246,837;-20,08397616;3,047140846;-4,27350496
247,432;-5,585781271;7,455777172;0,777403864
248,027;-8,786048582;-1,846921559;-6,84630155
248,622;1,27862016;8,355710439;5,767483436
249,217;1,625487095;-1,497533366;9,461344522
249,812;-14,03203377;-4,538087281;1,973867192
250,407;-0,342785793;-2,72610044;15,63685691
251,002;-16,03470516;-1,564513101;19,29123427
251,597;-24,8643148;-4,351554256;18,13608778
252,192;-26,45818597;0,644278966;20,22716385
252,786;-35,80990783;-7,004440941;12,06643861
253,381;-41,52870495;-5,896125523;10,92896205
253,976;-35,59377941;-9,514727357;-2,97833901
254,571;-34,09589414;2,685221612;8,707316341
255,165;-22,86740465;2,817186558;12,16931183
255,760;-17,78734785;5,218563855;2,825637775
256,354;-17,06576731;-0,851408909;0,195121943
256,949;-10,08902125;1,018447339;4,351939683
257,543;-6,979309911;0,736318534;6,81818141
258,138;-8,514547585;-8,486331724;4,223662911
258,732;-7,975034118;-2,919558973;2,543571078
259,327;-12,8259328;-1,147227326;4,209815653
259,921;-7,188910354;5,462982441;3,498671931
260,515;-6,303914714;12,05853676;7,560871502
261,110;-8,9296636;6,676870507;19,21921948
261,704;3,475467101;15,3103446;25,10332739
262,298;-0,171086394;12,64244954;32,6899878
262,893;6,146009794;15,82289341;27,53846226
263,487;5,082742247;30,46185727;33,18150723
264,081;9,277208416;34,39747527;35,82608725
