Filename-->;FLOR_1.RFL8;FLOR_2.RFL8
Mode/Unit-->;;
Int.time[ms]-->;1,049999952;1,049999952
NrOfAverages-->;20;20
Smoothing-->;4;4
Wavelength [nm];;
245,052;36,86757325;45,45856083
245,647;38,01775206;50,03624423
246,242;38,28456658;35,15166459
246,837;36,00175912;35,05087368
247,432;32,53556143;29,70491841
248,027;26,42634874;32,16323016
248,622;38,11329781;32,25077162
249,217;36,53202908;29,89296583
249,812;36,55804561;33,10315126
250,407;31,55464245;39,12045883
251,002;35,35964845;31,13532939
251,597;39,39151241;34,84171203
252,192;36,05007164;36,25198177
252,786;44,12376562;34,90304708
253,381;46,57794939;27,73399919
253,976;50,57361167;32,67388424
254,571;58,27024842;38,85846731
255,165;44,57449519;34,21906626
255,760;48,96432656;39,92583541
256,354;35,57084069;44,8324896
256,949;27,50130938;50,0379359
257,543;30,18299771;47,93484707
258,138;24,52687377;42,3808544
258,732;20,44025205;41,79800437
259,327;19,29424997;41,85463649
259,921;6,537529574;41,73969923
260,515;14,74323377;44,57541873
261,110;13,38974576;26,68367516
261,704;20,75233536;33,61216739
262,298;19,32705324;32,09137857
262,893;21,24212375;35,06318676
263,487;11,8341184;41,79739548
264,081;28,05338206;44,66604677
264,675;20,9543538;39,45086468
265,269;30,1031499;39,37724522
265,863;28,78370989;38,89800542
266,457;33,35909286;43,78043256
267,051;30,12993729;39,13491329
267,645;31,71717185;28,43005898
268,239;26,56329617;28,77493022
268,833;37,48619116;30,11378046
269,427;31,86880003;16,57158409
270,021;32,86030016;24,16409622
270,614;25,91046827;19,06910453
271,208;26,43171876;8,529901698
271,802;22,77073593;5,464203662
272,396;28,20617117;7,63254079
272,989;15,97519273;8,050550118
273,583;10,74127009;5,291131315
274,177;8,615321528;1,870748282
274,770;-2,026413339;17,75943201
275,364;-5,439640072;11,95408635
275,957;1,45429137;19,98947818
276,551;-7,037864065;23,96715976
277,144;1,32733828;27,45292455
277,737;-15,96523378;24,84044163
278,331;-0,256562122;29,4045565
278,924;5,753968443;23,93708587
279,517;4,315886256;31,91948197
280,111;11,77434051;34,2635649
280,704;16,96959382;27,89962484
281,297;14,96236512;28,78572789
281,890;27,7239313;30,44287959
282,483;21,81724728;31,29467838
283,077;28,21251354;40,58023548
283,670;25,70362846;41,13694194
284,263;25,14818112;40,98559504
284,856;27,78807031;39,44291748
285,449;28,51738465;31,07632687
286,042;18,99999988;35,6927713
286,634;23,61922699;35,2895013
287,227;18,97156195;34,74448213
287,820;25,20930193;34,55946508
