Filename-->;SEPALO_EXT_1.RFL8;SEPALO_EXT_2.RFL8;SEPALO_EXT_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,141;15,88000067;32,30894016;22,83576118
196,739;5,423388412;23,8405193;6,707945708
197,337;7,238550867;28,93456823;14,47079333
197,934;5,3289076;20,72446607;3,525437881
198,532;6,201546807;17,33061446;16,82261691
199,130;-3,477298875;17,14285703;19,53539411
199,727;5,723683529;14,49984653;11,39916076
200,325;10,61067183;12,06007263;6,781773141
200,922;19,68415144;9,480223047;14,71056751
201,520;23,50681943;14,1756038;16,45655898
202,117;33,05859183;21,72534786;26,78509197
202,715;32,42265397;14,19542052;27,41337554
203,312;35,94843318;19,56412315;35,00421997
203,909;36,88575841;27,58443302;21,90277016
204,507;31,888851;31,67959614;22,59767647
205,104;28,78348917;34,89136288;29,24304164
205,701;28,0504908;31,62033668;33,78329209
206,298;24,77934818;31,22057196;31,71247392
206,896;24,50532554;29,81752019;33,62238968
207,493;7,957559521;23,53728524;37,95801648
208,090;9,531963579;27,18587954;37,54886433
208,687;3,556658705;29,7472331;24,90180723
209,284;-2,552943866;19,38711628;30,35107715
209,881;-2,282412136;13,82687045;30,0805735
210,478;-5,069124502;14,63318931;29,22641592
211,075;-6,769328646;19,32120159;21,41421481
211,672;2,428525571;22,68283238;20,59788617
212,269;6,455897744;20,49722724;19,18487255
212,866;13,80927503;20,70805657;12,5994452
213,463;21,05391461;21,64284723;9,256004643
214,060;15,30221957;24,72124782;25,5529673
214,657;23,00637017;26,46515284;26,73189864
215,253;32,7485401;31,47558332;24,9885051
215,850;35,37295809;34,61042863;20,82945205
216,447;37,62451903;36,89091032;29,64224874
217,044;30,88150641;32,08968792;28,75768788
217,640;30,40644048;36,90994917;35,87391292
218,237;33,12717517;40,0739617;39,84928325
218,833;35,45275625;39,67677996;41,2396479
219,430;41,4006756;36,76470338;31,39559284
220,026;37,27708411;41,35144154;33,76652151
220,623;37,53056239;42,06451259;18,93549613
221,219;41,0337746;38,14828226;23,3648469
221,816;41,54580552;38,52153072;28,68189836
222,412;45,46231517;39,51048992;28,54809529
223,009;43,62728205;44,31897266;23,78015531
223,605;43,83206517;42,68385003;22,98780503
224,201;42,43318259;43,76822697;28,62405585
224,798;48,71601114;38,46001464;36,52462477
225,394;51,69312183;35,43447127;38,83828601
225,990;59,85734902;28,04458373;53,25453935
226,586;50,91254789;28,99903486;54,2233872
227,182;46,37178944;27,26675291;59,30986352
227,778;45,80791001;23,85553389;60,76190481
228,374;46,36265069;19,01556026;58,42797971
228,971;43,26786777;17,21311465;55,17401945
229,567;49,56861088;20,0859779;55,38574814
230,163;37,80769069;25,434143;49,91723503
230,758;40,62038365;22,95889034;44,81431498
231,354;23,0155714;26,00241125;40,66793936
231,950;27,13634825;24,73404345;39,09382396
232,546;30,50696057;23,2592106;32,91073321
233,142;36,42525796;28,584295;33,87281602
233,738;34,45098192;29,91087508;35,46057673
234,334;32,61065757;35,74460879;35,23646462
234,929;22,83237078;29,84665077;33,59328901
235,525;23,41557979;29,71749215;32,73067241
236,121;20,11580572;30,26613442;36,24371981
236,716;29,7324071;35,20573537;39,40663661
237,312;33,93776141;31,26778339;40,26674655
237,907;28,28684912;32,09822964;39,77495227
238,503;20,65775771;28,49879933;37,46656013
239,099;27,50877124;30,50448485;42,88852231
239,694;33,77455268;29,65602889;36,99851369
240,289;40,09850009;37,38099155;42,44684684
240,885;41,16705455;34,8370139;38,78704694
241,480;41,49017952;37,53763227;37,74982605
242,076;37,07004299;33,83121628;38,57398019
242,671;36,5640438;36,95581441;35,89611304
243,266;42,28949475;36,50681475;30,05636602
243,861;39,1560551;43,58373876;26,25524862
244,457;40,46484191;40,28962133;24,25962688
245,052;38,9919422;44,49382825;27,44446189
245,647;35,67442685;44,7250849;17,33552169
246,242;42,09288522;50,71146843;18,12830276
246,837;41,99101557;44,12584143;11,26844523
247,432;43,81050385;45,56621279;2,299937005
248,027;37,93172699;44,62487829;1,941583799
248,622;41,02709774;42,7736726;-1,027592573
249,217;47,88143449;45,87598781;4,342154247
249,812;47,39832946;48,61978697;3,757632365
250,407;42,59146752;43,65260488;1,239017874
251,002;44,02227977;39,80129777;2,182903996
251,597;37,035417;27,55247422;5,188359589
252,192;38,74810522;31,79304771;17,76988046
252,786;35,96440044;29,2113591;24,50058724
253,381;38,28094064;29,12621251;22,98955857
253,976;26,94122587;33,77898592;20,32303813
254,571;23,42693168;25,03802312;23,24142834
255,165;22,77465794;21,69828344;22,0599772
255,760;22,16474318;26,00480827;17,5738727
256,354;19,01286795;21,7640303;28,09756004
256,949;19,75079123;28,45991312;23,01336183
257,543;12,89893573;26,46964845;24,9140613
258,138;25,21722283;26,09902772;26,8364171
258,732;24,18181743;30,99970394;30,23073862
259,327;28,8024164;31,28183855;37,35849061
259,921;26,35923256;28,85718437;40,71579035
260,515;27,47009995;26,96137758;36,40196604
261,110;32,77881647;22,41379326;41,92158623
261,704;35,97949229;23,21618862;40,01996313
262,298;37,55109528;22,53778293;45,45262477
262,893;36,29002708;26,38536556;49,2117385
263,487;21,87155849;26,31674328;43,95833657
264,081;24,48855593;26,71428743;35,18182075
264,675;20,07204384;22,17702904;35,68256295
265,269;26,2133932;34,11230457;23,23873879
265,863;17,52010147;39,37994464;18,53022524
266,457;16,72605238;42,68484579;16,5277209
267,051;15,55645069;44,07199659;14,29968672
267,645;20,20829523;43,96423043;21,07324717
268,239;20,78547609;40,76079177;16,78531262
268,833;26,58399328;44,94465872;26,283077
269,427;21,06551235;44,74809041;34,54332639
270,021;34,28870949;44,33220924;35,63896301
270,614;28,002054;35,93422693;35,57794335
271,208;28,69733616;33,94952296;41,74651945
271,802;22,34269076;33,9246821;41,48936307
272,396;21,56355542;35,44102202;53,88407202
272,989;18,39622576;23,67626296;44,94735156
273,583;27,4479381;25,4279237;47,71040779
274,177;26,45226177;19,24865933;45,30967159
274,770;29,54545487;19,54649351;41,25095906
275,364;18,07457477;23,22423457;36,93983178
275,957;24,02459956;23,89243789;38,08930675
