Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
195,543;-9,431187194;0,281910451;19,20125332
196,141;-18,26875445;-3,414859809;21,98123309
196,739;-13,25408077;-10,56251108;25,33944554
197,337;-21,48714999;-12,38860758;19,95456658
197,934;-15,19216939;-1,600143662;20,31643347
198,532;-16,48456922;-0,416666806;17,88043407
199,130;-15,6333712;2,138190128;15,50188055
199,727;-18,4673862;-0,278491895;8,440445942
200,325;-20,0332843;9,905466475;15,88573822
200,922;-24,86910864;14,86564801;21,22559255
201,520;-20,38753107;16,94121696;17,99896
202,117;-32,73980689;11,8766408;12,58202095
202,715;-30,77245113;16,4799998;6,417777819
203,312;-39,76004733;8,443908904;9,650181341
203,909;-40,70716357;5,191594479;9,924068254
204,507;-43,1283909;5,436051788;12,28947857
205,104;-35,36846639;0,74805022;15,4544016
205,701;-31,32454498;3,453522223;17,46538897
206,298;-38,92848348;-3,914879708;15,48083221
206,896;-29,52961681;-9,766379516;15,19409698
207,493;-19,9299165;-3,162393342;19,17948706
208,090;-12,53021732;-12,67776628;21,05445751
208,687;-5,80070416;-12,27571435;11,83158516
209,284;-0,158311378;-8,935867754;7,976549925
209,881;3,296906621;-14,28571385;12,22699506
210,478;-1,816139259;-7,915478996;22,80731209
211,075;6,386618705;-13,59673575;21,46169683
211,672;7,09345655;-13,54989239;22,39770249
212,269;19,9544095;-9,252853923;23,6423386
212,866;19,80497646;-12,17099407;26,70906042
213,463;19,40860163;-2,782519939;25,196315
214,060;16,14029197;-5,015673694;33,6743098
214,657;8,121733143;-5,89111386;31,37514372
215,253;2,912978511;1,294136649;26,20227096
215,850;12,75703776;-2,890979377;12,8352484
216,447;-0,583942223;-5,281285823;10,26734478
217,044;4,324324495;1,818462509;12,83710924
217,640;-24,71366868;7,141807143;17,86921392
218,237;-27,07015246;11,12476098;18,00436763
218,833;-47,10165426;4,728903449;17,69262124
219,430;-52,33302947;5,065383626;10,13076806
220,026;-37,44680894;1,287890724;13,0673793
220,623;-29,96129313;-1,070771188;17,66772567
221,219;-25,33822428;1,554736337;26,49463104
221,816;-18,75141813;-1,737516884;27,14237468
222,412;-12,55349441;-3,278394589;22,76961661
223,009;-1,266057808;-10,90799586;11,5106474
223,605;1,269035438;-14,12311447;9,988385841
224,201;16,97651604;-2,05104825;8,705559221
224,798;15,27022716;-6,161241793;13,34935581
