Filename-->;PUNTA_1.RFL8;PUNTA_2.RFL8;PUNTA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
316,828;15,87231619;-9,128803504;-4,501875198
317,420;13,69282856;-7,027240035;-0,88827475
318,011;8,792965643;-15,36192071;-2,753737784
318,602;11,9148273;-15,32190585;-4,995818714
319,193;9,372493269;-14,04766462;7,905445349
319,784;14,49144825;-10,03060208;7,939476704
320,375;10,12524519;2,319859365;12,75922669
320,966;11,18892231;2,054424;9,136780995
321,557;12,80115612;4,131316644;9,904093959
322,148;12,08181698;5,902004576;7,405345486
322,738;14,57967071;4,552878935;5,369538327
323,329;15,75626478;7,861452012;13,75754071
323,920;12,02865748;3,516525871;16,42966989
324,511;5,944986297;2,114285762;3,866666831
325,102;4,486586702;4,627302927;3,182579799
325,692;4,71899465;1,433296314;-5,468577856
326,283;11,55665704;-8,818513879;-9,914738029
326,874;13,0764503;6,3672054;-5,734845081
327,464;15,38615504;12,54685374;4,754389382
328,055;15,25270805;12,15340246;1,692473888
328,645;11,41159551;15,6570371;-5,219012267
329,236;14,41860436;19,18319315;-11,21146717
329,826;12,59127655;16,33424292;-7,810203844
330,417;8,443215714;11,6500992;-5,447316054
331,007;9,031100691;-0,49077326;-5,57518603
331,597;8,485477761;3,962746158;0,456537446
332,188;14,86017622;-6,803262402;-7,36025466
332,778;13,40146573;-11,49299378;-15,95884324
333,368;12,84240482;1,381909155;-8,333333839
333,958;15,41251171;-8,54973088;-16,6340035
334,548;16,83531039;-5,858045497;-16,06708743
335,139;25,80904783;-1,471940995;-14,69641254
335,729;30,2403303;-1,247978568;-14,53663044
336,319;29,84169691;8,377937858;-8,517570522
336,909;27,36892753;15,20412851;0,164242312
337,499;23,71721689;28,07250307;17,06454451
338,089;26,88535206;28,27570003;18,34862459
338,679;24,50046104;9,06344356;7,971181713
339,269;27,30610321;11,65657904;6,971531783
339,858;22,65624865;10,65471153;5,692242679
340,448;18,61427185;8,11507069;5,410047741
341,038;18,88579359;5,123258477;-5,894962817
341,628;14,87315207;-3,655635261;-13,15163183
342,218;15,95968052;-7,093277351;-28,76355937
342,807;13,09853;-22,97577979;-45,6516729
343,397;8,363363348;-20,63983495;-40,45407784
343,986;4,19859533;-11,62146024;-33,14194954
344,576;3,148652863;-10,10608636;-29,49934958
345,166;7,39539908;-9,536493913;-22,71354832
345,755;5,292222844;-11,30820333;-21,71365109
346,345;-1,690741901;-14,20413975;-30,2997848
346,934;0,945743927;-15,03853689;-39,16472539
347,523;-8,138279204;-10,12290937;-26,51075605
348,113;-10,85714263;-6,821236682;-20,95094162
348,702;-10,68391877;-11,94869042;-20,92778011
349,292;-7,636299014;-23,45920508;-27,92017155
349,881;-13,10370711;-29,14606818;-30,89887701
350,470;-26,73692942;-26,3291134;-38,18181741
351,059;-25,33243289;-24,93112915;-41,23966943
351,648;-16,54984338;-22,47011998;-34,20982765
352,238;-11,69941723;-13,72251774;-7,480414804
352,827;0,547008502;-23,61707501;-20,6870424
353,416;5,648779438;-25,01956718;-18,67988525
354,005;8,237489173;-15,27440538;-15,39582361
354,594;1,514059176;-2,936261994;-14,46646022
355,183;3,618110754;3,448885773;0,919702925
355,772;12,71230987;-2,496580207;2,034883885
356,361;16,00330421;-1,057309232;5,056696302
356,949;18,58589492;4,720056913;16,76825012
357,538;16,10429608;0,808913305;5,555555737
358,127;11,12792104;5,079961908;10,28535565
358,716;7,511505883;5,12628897;2,555671981
359,304;9,456139737;2,643732863;0,637043742
359,893;12,49812844;3,075596703;0,948548426
360,482;14,61798894;-0,499219925;-9,781590781
361,070;13,06040006;0,032701549;-12,08306052
361,659;7,801848266;-6,632852343;-31,50604988
362,247;-4,175928706;-10,75586716;-33,52430173
362,836;2,98742216;-2,310114741;-31,55407678
363,424;2,575622388;2,065988024;-24,94603789
364,013;3,978697532;-7,788572624;-24,78182179
364,601;1,740020412;-5,634448773;-29,76027025
365,190;4,401486542;-5,468500221;-24,5283011
365,778;6,717240949;-5,656435542;-24,23268563
366,366;2,75563931;-0,930363993;-15,63292896
366,955;6,128133378;2,943091607;-4,5578849
367,543;13,21282581;6,301546458;-9,561855918
368,131;7,725322123;5,449982086;-3,4420943
368,719;7,644073101;-0,68850907;-4,867046741
369,307;3,355704575;4,326572663;-0,166406864
369,895;5,377456148;3,504742855;4,15376896
370,483;5,927075497;2,870253446;2,2944032
371,071;4,674709;3,778588055;-0,903215107
371,659;6,913499241;3,105875308;0,152998852
372,247;5,217391172;2,952768975;0,58120118
372,835;3,103544521;1,408282519;-0,895095086
373,423;4,0071112;1,222634346;-1,750352592
374,011;2,895785011;2,675585419;-2,358974344
374,599;3,64079438;1,996653201;-2,761086105
375,186;2,078388267;1,251885803;-2,68031977
375,774;2,411502561;0,291990946;-3,484427223
376,362;2,267348307;-0,273224133;-2,437060906
376,950;2,003707975;-1,271260789;-4,282833659
377,537;2,195258436;-0,827791985;-4,16803962
378,125;2,727287854;0,053610932;-3,159587806
378,712;2,675730472;0,09660771;-2,814291585
379,300;2,354960962;-0,459176721;-2,861601607
379,887;2,578974998;-0,299621201;-2,9184252
380,475;2,222006841;0,047959757;-2,97772694
381,062;1,98385701;0,123147651;-2,66135745
381,650;2,23297075;0,46209898;-2,047908992
382,237;1,815030625;0,698196688;-1,068544837
382,824;1,582660787;0,399123295;-1,034721473
383,411;1,079036493;-0,122866469;-1,05488039
383,999;1,029122945;-0,552915068;-1,118420403
384,586;1,226982207;-0,158216968;-0,55425071
385,173;1,090804986;-0,400545106;-0,803871892
385,760;1,34495376;-0,475732484;-0,696424186
386,347;0,943802621;-0,298440134;-0,621013085
386,934;0,60723213;-0,291924446;-0,346376752
387,521;0,700900772;-0,05929769;-0,41861381
388,108;0,820215442;-0,058303726;-0,355122186
388,695;0,915883344;-0,026282389;-0,257191717
389,282;0,694929127;0,188515584;0,155992209
389,869;0,911513548;0,159394452;0,02865515
390,456;0,92025633;0,442301118;0,256916167
391,043;1,010489518;0,53417255;0,56853815
391,630;1,200244483;0,578646983;0,698325719
392,216;1,217208918;0,620384022;0,172525823
392,803;1,203144567;0,553798824;0,164898414
393,390;1,211435028;0,802491759;0,345215971
393,976;1,216169174;0,854817187;0,562867988
394,563;1,393109086;0,890222495;0,517947696
395,149;1,318851318;0,794436075;0,61683522
395,736;1,202798824;0,749764239;0,649354217
396,322;0,934667375;0,673696989;0,526009592
396,909;0,889128889;0,469707336;0,33752838
397,495;0,927768885;0,526592209;0,652291957
398,082;0,876252854;0,60336827;0,577485298
398,668;0,863263505;0,564746907;0,465249534
399,254;0,753139727;0,615933158;0,339042376
399,841;0,804330876;0,463479867;0,090512431
400,427;0,674631599;0,497070408;-0,057107308
401,013;0,869772259;0,540271715;-0,06765832
401,599;0,935363593;0,623757723;-0,104123334
402,185;0,955585926;0,79242023;-0,018239042
402,771;0,901483087;0,818693984;-0,125827856
403,357;0,95142559;0,729831942;-0,124351429
403,943;0,948179984;0,608533858;-0,173913658
404,529;1,105265651;0,629800247;-0,113285198
405,115;1,092441398;0,743130733;-0,077225406
405,701;1,240950387;0,77443857;0,013730037
406,287;1,088657101;0,727895616;-0,093411065
406,873;1,244927248;0,686155111;0,036758408
407,459;1,152817577;0,658971262;0,035221954
408,044;1,128549077;0,63554155;0,223786687
408,630;1,120828656;0,582450817;0,298724822
409,216;1,255736405;0,635923338;0,220713559
409,802;1,387480184;0,634579438;0,218913413
410,387;1,403194573;0,667276252;0,402961793
410,973;1,289687372;0,703877721;0,458609028
411,558;1,360206154;0,824437605;0,582831573
412,144;1,283920084;0,856987581;0,463837912
412,729;1,322235784;0,845172385;0,50030641
413,315;1,461206751;0,837742118;0,477334123
413,900;1,428435189;0,964319106;0,559566743
414,485;1,326519955;0,90924453;0,627253371
415,071;1,117402058;0,960348881;0,665758387
415,656;1,09071774;0,837603885;0,519554076
416,241;0,994152588;0,841173081;0,493110798
416,827;0,952344929;0,718335933;0,529328939
417,412;0,879063927;0,750042138;0,59437307
417,997;1,017399818;0,796658063;0,665859333
418,582;0,998103415;0,858723718;0,568827642
419,167;1,074988134;0,88181484;0,618363692
419,752;1,03029526;1,030586606;0,613921037
420,337;1,094308995;0,978455986;0,523032026
420,922;1,048625093;1,17249686;0,671552323
421,507;1,191977041;1,234561408;0,652565219
422,092;1,193197588;1,274390482;0,652160267
422,677;1,30919043;1,275196446;0,597871317
423,261;1,186025686;1,259839296;0,538581345
423,846;1,072273724;1,220533698;0,667249574
424,431;1,02614843;1,002351434;0,555694221
425,016;1,042653683;0,945001169;0,601601984
425,600;1,055014151;0,89616761;0,659675399
426,185;1,09761371;0,873278166;0,553824225
426,770;1,016336437;0,846494571;0,574019979
427,354;1,087975084;0,907116944;0,637702879
427,939;1,132268556;0,896382945;0,652213782
428,523;1,196329331;0,897755507;0,574895517
429,108;1,379430834;0,867952172;0,537105936
429,692;1,376220869;0,957197046;0,452047615
430,276;1,420560974;0,96158986;0,53784753
430,861;1,409525537;0,966104453;0,500219226
431,445;1,445882983;0,765734149;0,497091782
432,029;1,587578836;0,611302757;0,493763909
432,613;1,534145303;0,56565263;0,414074045
433,198;1,482882272;0,563343836;0,388425376
433,782;1,504577287;0,544281311;0,44770815
434,366;1,491333909;0,583267652;0,403850729
434,950;1,559242707;0,61655922;0,461241097
435,534;1,571802382;0,573671245;0,41239912
436,118;1,63095246;0,621693049;0,463292011
436,702;1,649840774;0,794637796;0,551894891
437,286;1,662415668;0,934094887;0,613885752
437,870;1,734988062;0,904461586;0,642037472
438,454;1,757860166;0,929045986;0,632604953
439,038;1,679738501;1,053873047;0,719737248
439,621;1,586209639;0,996447946;0,681203909
440,205;1,535894938;1,111658671;0,686065071
440,789;1,584724573;1,11188278;0,663997735
441,372;1,560203108;1,141261402;0,636157341
441,956;1,579692695;1,096097437;0,549284776
442,540;1,526348408;1,057559317;0,488198189
443,123;1,485787891;1,155390208;0,529647356
443,707;1,467123794;1,122812723;0,591017183
444,290;1,541553901;1,083094258;0,539851148
444,874;1,583664264;1,088909588;0,56628653
445,457;1,643025144;1,088488173;0,56676629
446,040;1,609515929;1,134903342;0,550900353
446,624;1,681381576;1,124820602;0,598437682
447,207;1,613054994;1,123730765;0,675646098
447,790;1,64732418;1,141523076;0,737201992
448,374;1,630751773;1,094908399;0,720622458
448,957;1,642306427;1,156657411;0,715236901
449,540;1,571097172;1,079766648;0,680303917
450,123;1,571265365;1,119509192;0,684930528
450,706;1,495822678;1,075225526;0,722955911
451,289;1,498812252;1,031338426;0,748853444
451,872;1,449984634;0,972749741;0,687687482
452,455;1,463407352;0,994733754;0,673804094
453,038;1,443822146;0,985542821;0,623410741
453,621;1,444197215;0,975575202;0,589212719
454,204;1,462462357;0,896139632;0,583790543
454,787;1,454337923;0,953274332;0,620921055
455,369;1,477039707;0,938213274;0,608245803
455,952;1,541561159;0,958637933;0,581939844
456,535;1,562036005;0,962105435;0,591805392
457,117;1,537471502;1,05130686;0,642198257
457,700;1,606848106;1,086209167;0,649024366
458,283;1,587525079;1,072235814;0,640964864
458,865;1,637878437;1,090072586;0,694783276
459,448;1,698199794;1,103383794;0,67589723
460,030;1,742458947;1,088476147;0,662197933
460,613;1,730348499;1,159694135;0,708930849
461,195;1,702363075;1,163170203;0,686224081
461,777;1,697008932;1,166540256;0,680509639
462,360;1,726526981;1,132561365;0,6505404
462,942;1,694922883;1,10954109;0,63141755
463,524;1,700942179;1,141076497;0,670726606
464,107;1,704883647;1,162743915;0,678521014
464,689;1,586965399;1,189023009;0,699144189
465,271;1,574109893;1,149502231;0,734377157
465,853;1,556639791;1,122088587;0,717038805
466,435;1,571565907;1,110354065;0,757881029
467,017;1,584071363;1,198301476;0,818048952
467,599;1,54486147;1,190064538;0,851618345
468,181;1,525369597;1,124512771;0,83983133
468,763;1,508377018;1,112432733;0,815688241
469,345;1,506376778;1,058332315;0,780073868
469,927;1,538056543;1,02353148;0,738386259
470,508;1,565438005;1,098550961;0,722040179
471,090;1,538309032;1,059133589;0,699739368
471,672;1,499247581;1,042604816;0,64806118
472,254;1,468812878;0,949814181;0,561131906
472,835;1,512786761;0,931617231;0,51596532
473,417;1,505395619;0,970500422;0,528919431
473,998;1,522912365;0,897296061;0,523414953
474,580;1,477799607;0,927507738;0,519126133
475,161;1,493742307;0,987070282;0,545209844
475,743;1,535891057;0,946106651;0,541886029
476,324;1,586671672;0,92317747;0,543830496
476,906;1,617852774;0,919339799;0,606463201
477,487;1,618898231;0,956632063;0,640168357
478,068;1,613921138;0,963445105;0,642562597
478,650;1,595572799;0,960893187;0,657051017
479,231;1,600097032;1,009114254;0,676697021
479,812;1,643790403;0,955519816;0,639768582
480,393;1,62066547;0,916639803;0,65269547
480,974;1,598932442;0,919851461;0,663932033
481,555;1,608070865;1,007569514;0,710066111
482,136;1,576230752;1,003191712;0,735190665
482,717;1,596894057;1,027796661;0,725748026
483,298;1,597834017;1,049056433;0,785622777
483,879;1,637117655;1,075350652;0,769956735
484,460;1,642012925;1,040449652;0,747054061
485,041;1,614269087;1,106961682;0,821096915
485,622;1,61629061;1,108379606;0,767215647
486,203;1,614487212;1,105363782;0,754687388
486,783;1,575323285;1,06176068;0,760638661
487,364;1,628278005;1,047726271;0,705213162
487,945;1,559026692;1,058606429;0,726812991
488,525;1,572834277;1,072271357;0,693232767
489,106;1,617707036;1,080361719;0,757060035
489,686;1,652297866;1,151786492;0,804783836
490,267;1,671752268;1,17254191;0,7744317
490,847;1,696025437;1,196187867;0,841491854
491,428;1,71990416;1,22957392;0,871059865
492,008;1,766723571;1,221158299;0,827538031
492,589;1,804815164;1,288837979;0,867820045
493,169;1,921220442;1,298509401;0,893456022
493,749;1,968426994;1,327922137;0,922537644
494,329;1,991430927;1,335275061;0,887996653
494,910;1,982319193;1,355007645;0,924052709
495,490;2,037619804;1,351936328;0,951041358
496,070;2,116441016;1,444816192;1,044438558
496,650;2,129129123;1,523896872;1,098779092
497,230;2,179778765;1,616173253;1,202277532
497,810;2,198178407;1,694628852;1,233603185
498,390;2,25421351;1,707618993;1,203459259
498,970;2,32603643;1,762018429;1,269457304
499,550;2,376741223;1,871621573;1,376076179
500,130;2,484257386;1,96702557;1,397502849
500,709;2,556454691;2,019993334;1,443116535
501,289;2,585548106;2,071144367;1,405718593
501,869;2,6716869;2,143747981;1,43520777
502,449;2,781302924;2,197210582;1,438506771
503,028;2,912486743;2,283879329;1,4935788
503,608;3,022890666;2,457489997;1,676432987
504,188;3,057476107;2,536432342;1,739354083
504,767;3,114447246;2,606080923;1,754823749
505,347;3,226221052;2,731837918;1,852192907
505,926;3,310763275;2,874649318;1,992640407
506,505;3,432039058;2,943854458;2,125354696
507,085;3,525605209;3,05277134;2,269145341
507,664;3,550464378;3,206107016;2,384243596
508,243;3,652916382;3,212193745;2,503363279
508,823;3,711406482;3,269487146;2,513242377
509,402;3,816630707;3,401003979;2,591029476
509,981;3,963209583;3,490038646;2,670939459
510,560;3,998386438;3,589260445;2,74804743
511,139;4,094427957;3,688666145;2,812626394
511,719;4,191503564;3,806216659;2,924097795
512,298;4,289081841;3,909034735;2,996193921
512,877;4,401467385;4,020590588;3,117481018
513,456;4,462411799;4,23118771;3,214507291
514,034;4,525824048;4,386057988;3,366297594
514,613;4,588290218;4,549640825;3,526984431
515,192;4,654191984;4,698569744;3,705310959
515,771;4,797041807;4,827704817;3,881304464
516,350;4,824094964;4,959500635;4,052131786
516,928;4,90146935;5,096569427;4,134027807
517,507;5,007843385;5,222254304;4,239134758
518,086;5,129234625;5,32809364;4,35373697
518,664;5,229352285;5,46168659;4,44611866
519,243;5,300995111;5,519355087;4,568592274
519,821;5,378374597;5,554513013;4,674954984
520,400;5,408326806;5,654445355;4,786508059
520,978;5,470861616;5,72736321;4,8722074
521,557;5,54900444;5,92283781;4,966893886
522,135;5,504775618;6,099794941;5,059386525
522,714;5,507261577;6,229854708;5,123968743
523,292;5,536060473;6,363801672;5,160523788
