Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,739;59,55390124;59,6654237;46,05947977
197,337;73,16499112;58,24916025;58,51851835
197,934;59,15365996;49,15966553;60,74429941
198,532;56,60799148;40,933222;71,58423492
199,130;52,28116805;28,56764148;72,20159275
199,727;61,65451002;41,48855918;85,84359564
200,325;78,17283665;47,2839491;82,71604777
200,922;74,62259525;27,74596567;76,54866986
201,520;65,59611737;32,11645158;61,99168064
202,117;73,72372524;36,05748461;62,87000969
202,715;63,49487889;34,96847954;56,10717311
203,312;73,36661261;44,75797548;56,34903453
203,909;76,55578642;49,85290836;59,56098698
204,507;93,21043721;58,72302455;75,74190773
205,104;94,73318196;47,07656589;63,43387599
205,701;92,18989188;42,15707727;67,16254591
206,298;99,38203421;56,56587992;68,59412915
206,896;114,0887471;57,78390585;77,13712739
207,493;107,8579149;62,62109596;72,87405662
208,090;141,5236729;68,35963942;74,12491082
208,687;115,9031275;62,73709195;62,00758867
209,284;117,3697239;56,91687249;58,59180612
209,881;127,0225395;63,9257267;44,23076864
210,478;133,8720478;64,10774069;47,87878535
211,075;129,2943622;69,56521526;48,5388442
211,672;129,1794455;81,59509002;52,49233266
212,269;113,7749738;68,10374641;38,59095653
212,866;116,0110422;52,65700192;34,57556839
213,463;94,98258297;64,45993278;51,67247552
214,060;110,9539254;68,44395851;65,54225254
214,657;111,496972;84,96291419;76,39919306
215,253;106,6278718;81,99159491;84,73973649
215,850;93,38213175;90,9118674;90,75938246
216,447;88,56489852;79,75986233;76,18639067
217,044;80,21977664;66,92830841;59,34065997
217,640;86,84142654;75,44770407;73,11186178
218,237;82,78729541;81,07358878;77,29334823
218,833;88,34928248;75,93819386;71,81751643
219,430;86,68708604;65,57492924;66,25824587
220,026;86,41386016;66,85082651;65,82119453
220,623;70,54731057;64,65677349;58,14007445
221,219;66,63405368;61,76614756;51,85910224
221,816;66,35736103;63,31191759;62,16987733
222,412;70,14314554;66,98477522;71,32469532
223,009;64,97450419;62,77986814;65,59520979
