Filename-->;FLOR_ABIERTA.RFL8;FLOR_ABIERTA_2.RFL8;FLOR_ABIERTA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,141;63,13940178;87,30964589;89,02772093
196,739;58,10408378;90,70631729;76,20816819
197,337;71,48148425;70,94276807;76,66667524
197,934;61,25450257;73,49939906;76,35054407
198,532;65,74462112;60,71528353;66,49901984
199,130;65,57029076;58,32891241;59,57560206
199,727;78,82826115;67,71435496;71,61176733
200,325;78,19753046;72,51851867;78,74074334
200,922;85,99687278;66,50182358;67,80322861
201,520;79,02033044;53,81238497;75,25415601
202,117;77,19862715;58,90175623;68,42556747
202,715;70,13396385;59,02285311;67,23798297
203,312;70,93553429;59,64836097;66,09507099
203,909;70,80787648;66,0330407;78,68296192
204,507;77,40557977;66,90647546;85,72392458
205,104;63,45707616;65,22041689;77,37819266
205,701;63,68409534;59,35243779;75,01640871
206,298;65,4822316;63,40763323;80,95342985
206,896;69,81699828;60,61669726;76,4101292
207,493;69,16038729;61,78686603;95,31754334
208,090;79,85586763;75,39464535;102,6424188
208,687;87,74438893;78,75693614;106,4779707
209,284;85,08064096;79,80768715;98,63522822
209,881;91,34614949;82,62599078;118,998668
210,478;106,2289495;80,3703665;124,4444401
211,075;111,8317878;84,7113339;133,5709206
211,672;111,8864971;97,08589019;146,9708569
212,269;97,05572766;100,5958629;132,4570622
212,866;92,82263544;84,92063244;114,5962753
213,463;86,48084058;85,57491706;128,8153312
214,060;97,64235534;73,59448442;115,7054647
214,657;96,32502262;71,74646346;107,6534123
215,253;87,81118754;69,2531497;92,07889028
215,850;79,3534652;70,72278217;92,101252
216,447;69,12521423;54,65980359;71,09776933
217,044;68,96912504;47,98534972;64,54735793
217,640;78,0949917;45,49701629;65,0661823
218,237;76,89012136;48,81552566;65,77621075
218,833;75,88913752;40,76527094;59,23473275
219,430;69,27426827;59,11875465;66,32893282
220,026;66,80059983;68,55851231;68,00602737
220,623;60,6910931;63,05658848;74,37384253
221,219;67,80822089;64,84833859;64,57925686
221,816;73,70925445;71,02069757;84,34451567
222,412;71,32469532;63,57645644;86,54851195
223,009;68,63223093;67,63466944;84,32719868
223,605;73,27166338;70,27750537;94,64459963
224,201;78,58343243;78,31932533;96,18247365
224,798;81,86858974;65,89963689;100,9426099
225,394;76,98986901;60,51616104;90,71393934
225,990;90,86064391;71,64934802;89,10205016
226,586;78,956353;71,54352811;104,2672567
227,182;80,82800907;77,91053354;97,91609095
227,778;93,141381;98,64121495;103,8498854
228,374;89,14565768;89,04061727;109,8739431
228,971;92,36255331;98,12778401;101,6939024
229,567;84,78586146;91,01527236;103,474089
230,163;82,12420244;97,85258392;97,53337147
230,758;94,10302006;106,0390778;106,8561249
231,354;76,51388651;93,30880147;99,06323083
231,950;83,77334574;92,82035383;70,927238
232,546;84,69004607;93,80087438;78,20914104
233,142;86,32173786;87,54088582;71,69194186
233,738;91,05530394;94,94921271;84,76297961
234,334;85,50074677;76,98056429;71,56950537
234,929;89,08145424;78,30733311;75,01443961
235,525;93,90018257;81,26925775;80,31423663
236,121;104,082766;82,15883446;91,16330856
236,716;102,7331234;72,10611084;88,42443875
237,312;97,96146248;76,73834044;107,2046868
237,907;98,60373773;70,51103018;103,8815988
238,503;95,07402556;77,36204664;111,7900358
239,099;104,985796;76,80656568;118,1760849
239,694;96,07590602;88,8710203;120,3924105
240,289;81,42765216;82,81654024;102,7131814
240,885;71,02362347;74,39370136;105,1968578
241,480;64,58207828;63,8604915;91,07035708
242,076;64,73938996;70,9199621;106,1805721
242,671;65,3109374;75,83260151;105,8060808
243,266;51,43187661;69,10616089;106,1903367
243,861;36,23509698;50,4574437;94,73245642
244,457;29,5305064;49,6257679;84,96258003
245,052;35,38425643;42,72115193;78,91803859
245,647;38,92188378;45,20329062;85,60986696
246,242;38,38914283;38,69555595;72,37907968
246,837;34,89763;44,30641665;81,27444145
247,432;23,59017347;40,25683934;68,98380445
248,027;23,51524935;25,92295401;67,25521575
248,622;30,1038053;37,47670687;66,48921938
249,217;34,93589693;55,20833318;72,32906148
249,812;29,1410146;49,75080478;56,99208152
250,407;34,47079339;65,52920894;77,67495632
251,002;44,64064672;76,82775603;82,80669311
251,597;52,87792229;91,04996593;97,81783762
252,192;48,07978757;85,23369758;76,8978845
252,786;53,18981228;88,57968258;86,2956173
253,381;54,34037675;96,77327584;84,00913952
253,976;57,69930108;87,71747875;87,84731912
254,571;64,98836214;77,59022605;88,44587004
255,165;74,47335727;85,37794432;95,53903765
255,760;78,26495423;87,12809529;81,70999331
256,354;73,91967548;78,01220227;77,78342661
256,949;58,35651088;77,44627237;72,01011444
257,543;49,54428498;66,02009822;77,30778239
258,138;51,98556003;54,92178353;69,53068755
258,732;53,912037;59,00462988;77,06018357
259,327;50,56151639;60,06987704;64,73671013
259,921;44,74199716;53,51622197;60,22207854
260,515;54,59908334;55,5822601;67,72995614
261,110;46,25468128;39,13857797;76,00915506
261,704;33,95927008;23,35361141;66,33165987
262,298;51,96005069;26,99126223;69,83770258
262,893;65,40216432;31,80262325;77,21049852
263,487;66,0940797;43,28752342;79,75686882
264,081;73,27117611;34,44703405;74,17767357
264,675;68,46707752;27,93209892;72,2479369
265,269;71,0355046;32,07100768;70,29585737
265,863;70,34288789;34,69805519;74,20675357
266,457;73,77950576;41,82901537;70,2269061
267,051;72,92999911;50,63021396;74,53946185
267,645;72,4659311;49,72317043;73,99914944
268,239;60,68091868;55,32488794;71,24766135
268,833;64,5279742;54,24497593;64,57118065
