Filename-->;FLOR_CERRADA_.2RFL8.RFL8;FLOR_CERRADA_.RFL8;FLOR_CERRADA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
195,543;29,03556142;26,14889784;28,77973809
196,141;23,31038094;19,58955087;22,62178283
196,739;33,38913936;20,74942726;29,13178546
197,337;22,88930437;15,34342127;24,92629137
197,934;24,12301804;8,968500973;35,00720742
198,532;31,87084002;-2,655558121;44,66354354
199,130;19,87355616;-1,35927485;29,30181161
199,727;14,56744534;7,121819022;31,92216599
200,325;14,66736473;7,746478219;22,76060707
200,922;15,28101715;7,907252597;14,27091598
201,520;17,93971475;7,086167737;27,24612289
202,117;21,35593243;-1,649647158;42,99869939
202,715;28,53846287;-5,230313207;53,17949024
203,312;31,87217267;-4,868694373;58,3710384
203,909;13,5709999;10,94308508;39,24505587
204,507;24,00738715;5,717518898;55,12465561
205,104;29,45227915;9,219348601;48,21253154
205,701;24,66851503;2,124351814;44,15664389
206,298;34,01497533;3,784570016;48,18548318
206,896;29,37883362;10,60467269;47,98720626
207,493;22,16150496;15,11056546;35,97450052
208,090;22,75163786;22,04019328;34,60393086
208,687;11,195928;28,76538049;27,48091462
209,284;21,59826935;25,04574602;41,14470677
209,881;18,38014037;34,33435982;38,31494553
210,478;19,37984664;20,93582895;38,15407125
211,075;12,25433517;22,473012;37,86126865
211,672;1,862068581;21,64276127;36,27586077
212,269;-7,319999537;22,91220673;32,40000017
212,866;2,87798974;17,97481965;36,76530389
213,463;-23,89033766;12,56716507;27,63272383
214,060;-3,595685011;-13,61629735;41,59008973
214,657;-13,24577894;-11,57025014;22,70168997
215,253;-9,553891494;1,41458128;11,52783142
215,850;-9,702095623;1,113860331;14,77455829
216,447;15,05127283;8,711616946;35,89150047
217,044;7,927519776;-3,107978586;22,56511957
217,640;13,60020525;-7,704865435;29,58686377
218,237;9,400285245;15,77306613;23,27462983
218,833;13,20027266;17,34502293;17,73644903
219,430;-1,692709724;34,68208224;8,697916697
