Filename-->;PETALO_1.RFL8;PETALO_2.RFL8;PETALO_3.RFL8;PETALO_4.RFL8
Mode/Unit-->;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20
Smoothing-->;4;4;4;4
Wavelength [nm];;;;
252,192;24,24376344;58,24985538;53,13599644;66,78708518
252,786;21,42689041;50,79103488;58,5935868;58,79929594
253,381;17,71441082;47,66239766;51,31064088;64,01556895
253,976;16,58141556;46,56118942;57,3698855;57,26814677
254,571;9,224042933;35,49606763;54,19802882;51,73817149
255,165;2,124645938;33,95761352;54,0428749;46,41540923
255,760;2,904652493;34,26551996;44,13220299;52,82316767
256,354;8,96377764;25,81294491;48,24821463;52,31127317
256,949;2,995656001;25,96560307;51,19368488;52,67811632
257,543;6,782006348;19,38745242;53,88646227;52,68851007
258,138;9,410055035;22,80307947;48,84247342;55,49172255
258,732;8,804903925;26,82470342;56,63873532;54,5663974
259,327;4,71262246;29,91301541;51,67871663;64,89228979
259,921;13,44945267;38,83655603;44,64021399;72,96630994
260,515;10,93499541;32,91727;44,51324963;74,58529337
261,110;10,43252251;30,48632197;44,21671284;62,08143404
261,704;-1,497716508;30,03204728;35,69207964;65,20502007
262,298;6,821705058;24,25789863;38,83206025;70,16624056
262,893;-0,649233718;27,75457712;40,93175719;68,97656306
263,487;-0,636206949;21,87002328;42,95792588;68,35021531
264,081;6,737654596;26,43193266;35,86596868;67,285347
264,675;8,456827799;20,12135006;34,5284268;62,06792878
265,269;2,352495179;21,38607625;33,41192774;52,67186566
265,863;14,39859569;27,18988274;33,89068328;54,53288112
266,457;11,66371743;36,10915354;32,40838461;62,03901018
267,051;16,10634613;38,47659734;37,38158124;60,67415652
267,645;7,487308897;40,09191031;36,95329232;51,93881368
268,239;14,41305166;37,42218908;33,21782166;49,60685105
268,833;14,01316929;50,21082352;35,48387152;46,07348756
269,427;16,86747048;42,66666622;39,57172223;51,37174278
270,021;18,16374506;42,71626995;38,22053091;53,3495965
270,614;20,53978865;42,49317448;44,66698559;63,22746357
271,208;12,77195674;44,06993173;40,76004654;63,71570886
271,802;15,92150363;43,88571472;42,89332077;67,53693647
272,396;23,62784456;46,59779625;41,29604078;65,97020601
272,989;30,99894424;48,65831591;41,60345159;65,40342358
273,583;22,96511636;51,62871221;39,77819987;68,63072047
274,177;35,68773404;46,15024809;40,89717444;65,27974726
274,770;19,83855181;46,4890271;38,9176942;56,90765854
275,364;30,99400553;54,26644388;39,40807583;50,03558614
275,957;32,65856917;51,24430373;35,45568063;44,80448903
