Filename-->;PETALO_1.RFL8;PETALO_2.RFL8;PETALO_3.RFL8;PETALO_4.RFL8;PETALO_5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
214,657;23,92414141;26,35527567;24,2027989;27,4471831;34,25794799
215,253;16,03529954;30,19628755;30,18658548;27,98606417;38,51326763
215,850;20,4226841;26,38461532;21,76736823;28,69728361;41,16597245
216,447;20,05564527;25,99083449;23,68889866;26,55831645;39,56931347
217,044;21,29386368;41,97944204;16,21147128;21,31761238;36,36728336
217,640;16,26492529;34,00136754;14,88570762;21,75565324;34,41701565
218,237;16,4403491;39,06872516;8,940459892;5,143988384;25,13885668
218,833;11,62961194;45,89131036;16,40819464;7,815940456;32,08098926
219,430;23,28477581;48,80446309;22,5233822;-3,322564559;22,4484627
220,026;20,92521446;62,81858838;32,40775191;-13,77469339;20,38110722
220,623;20,36806872;63,17963012;26,36583997;-17,55016584;3,40981437
221,219;18,53322653;68,03719801;31,88082754;-10,10724004;8,074532616
221,816;9,464911554;66,49266791;16,82626572;-27,75929691;6,987397473
222,412;-9,541595331;65,54317657;22,22446594;5,213870048;28,75647916
223,009;7,001236887;59,96810179;23,05732508;11,80124172;35,70328402
223,605;-6,721818037;52,00106109;16,32508858;16,56945431;48,25283454
224,201;-32,41800239;48,09679674;6,741071653;18,57539071;52,29578365
224,798;-32,65766042;53,37870842;13,2603669;16,38091159;51,6155571
225,394;-22,11895986;32,25167034;8,641188432;25,16339799;59,27677318
225,990;-17,53774457;27,16853289;12,01117413;28,88363822;57,13557319
226,586;-20,2398807;26,71232888;9,286577589;16,80707673;53,82190496
227,182;-7,17472093;30,30142821;23,26511459;30,1355366;47,73739982
227,778;-0,285172207;23,85929223;16,70226431;12,71785425;42,36909416
228,374;-3,079710804;21,11609693;19,13536558;10,55581343;33,97892388
228,971;7,667731301;36,63235831;26,47887331;18,30690083;27,06464498
229,567;23,51046606;40,62256915;35,34575228;13,06005777;12,85161372
230,163;17,87634294;32,5150012;32,94376927;14,52910473;15,37258973
230,758;8,900366006;48,72280004;30,5828575;11,12176291;7,340552655
231,354;9,610474742;51,08936032;21,21338096;6,367925071;17,23946635
231,950;18,82175258;42,19941385;18,35778413;18,51106609;20,77392969
232,546;6,351508388;43,07467115;15,15272508;16,78642761;19,36118094
233,142;8,993815897;35,90504375;7,619827984;18,84623189;31,08866275
233,738;5,570136566;40,85662231;0,637681123;19,2691702;30,26464635
234,334;13,87708633;29,94652186;2,337662266;10,56454965;32,50268527
234,929;16,81443878;33,61502365;3,484195391;13,10160539;35,51938628
235,525;3,70019041;41,14082021;3,828828442;15,38819082;36,2007169
236,121;11,12276985;46,61681273;7,663197591;7,222740333;41,60811862
236,716;14,76166136;40,31338869;8,17150628;21,7617744;37,29171329
237,312;13,72275053;46,41412766;11,96834714;17,59948937;41,48935891
237,907;15,42644684;52,31353572;13,12279336;12,22063728;35,58484321
238,503;5,015291774;74,95833233;16,76276826;15,78471396;25,95870328
239,099;-8,784358725;72,25086379;19,73655348;2,802197605;19,07035941
239,694;-10,06187845;85,0890815;20,47209263;15,14285682;16,48351447
240,289;-29,2690198;68,62367192;16,71462877;16,35742019;22,3751661
240,885;-28,10962847;61,9393944;7,913492537;12,64759263;23,98628983
241,480;-20,77039002;56,10418169;10,87606351;23,0994155;17,70918186
242,076;-19,58518728;52,04451687;18,20895656;11,20958238;24,9584033
242,671;-23,00439878;54,16876093;15,93357332;9,889584771;23,1911432
243,266;-5,902243416;43,79186098;12,83799642;13,43317558;28,73738989
243,861;-8,061004243;40,63464135;12,95555979;16,64426622;28,84448528
244,457;14,50081881;42,54477216;17,25930491;22,13557325;36,74418386
