Filename-->;FLOR_CERRADO_1.RFL8;FLOR_CERRADO_2.RFL8;FLOR_CERRADO_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,141;5,684210283;14,3522234;17,69574568
196,739;7,793027676;19,6139973;17,66797773
197,337;1,397365866;15,83886051;11,21439804
197,934;6,836167748;19,34728385;19,07723111
198,532;-0,087550381;25,50765257;12,58524569
199,130;-3,401985678;20,03344469;11,88903528
199,727;12,12679725;23,85502038;8,428462894
200,325;4,357976671;22,61332423;13,67140671
200,922;6,040268285;29,19979749;23,55769227
201,520;7,230231337;21,7633574;24,75736457
202,117;2,749466497;24,04026478;18,55480734
202,715;-2,709677154;21,74684501;19,04837777
203,312;0,70796427;21,79966621;13,50748645
203,909;5,725000112;8,182192224;9,313963262
204,507;11,6644826;9,410088048;6,510101083
205,104;-3,342085919;3,724080168;4,015331846
205,701;-2,016334404;4,674884569;-2,853769863
206,298;6,564385669;3,283966164;-3,47588723
206,896;-0,280232862;3,753718601;-4,549590166
207,493;5,836661955;-1,19224928;-1,625729038
208,090;15,88649646;7,246050275;5,62748187
208,687;12,26280309;10,33707861;6,310517689
209,284;8,283789046;23,14945939;13,7354758
209,881;4,740902988;13,89198169;12,79826482
210,478;8,112360858;17,69107474;13,78241825
211,075;3,610856374;13,44585177;16,27301024
211,672;-5,716318667;18,64265829;8,553141917
212,269;8,8797121;19,51878895;10,22834531
212,866;4,899345092;19,34183983;10,08056112
213,463;5,3115662;18,49203156;3,044871677
214,060;1,74188505;20,1904008;10,12497745
214,657;-10,47374475;7,745866541;5,128204854
215,253;-6,953731037;20,98919621;5,524216764
215,850;-2,512077067;20,1064463;9,023836615
216,447;3,850155978;24,8542682;7,061702501
217,044;14,29169188;21,58208416;13,72170525
217,640;7,578142234;24,88216969;3,763336469
218,237;9,745763559;20,81651094;-4,802840125
218,833;0,497265262;18,35652759;3,282738635
219,430;1,480924102;12,2962282;5,230951946
220,026;6,506848755;22,72915777;4,124087786
220,623;7,555757949;30,89863501;0,069300068
221,219;0,048781139;22,59592532;-4,832382214
221,816;-1,211162997;15,07222726;-5,371218854
222,412;-17,93537833;12,99385393;-10,11428519
223,009;-18,14936092;6,111425853;-5,777460514
223,605;-14,68243141;12,94146604;9,017685061
224,201;-6,881781853;13,22133073;0,905064394
224,798;-2,781049838;22,7527409;-5,286861
225,394;-0,768467635;14,5817916;-4,136065396
225,990;-10,02081579;-2,575942637;-3,096538836
226,586;10,61802359;9,83361782;1,133144847
227,182;0,680465566;8,000000107;5,580724845
227,778;19,34900429;14,64560947;7,47232466
228,374;8,985848665;20,08647082;15,64506701
228,971;12,72602471;16,61311711;16,10353707
229,567;13,20713083;15,30445441;18,40585227
230,163;18,64784566;6,35169608;22,62760612
230,758;23,33097541;12,39022485;22,69545939
231,354;21,63593951;8,318264137;26,70690302
231,950;16,5158854;12,72621079;25,33919401
232,546;22,34277694;19,72764063;23,88919146
233,142;7,422372812;9,851183245;26,86485454
233,738;9,930527475;9,715208546;24,91278176
234,334;13,03018041;13,09406482;19,79510916
234,929;17,32300869;15,07427151;19,70459329
235,525;12,69874501;17,85198534;10,48732209
236,121;16,580544;11,99674702;10,71312181
236,716;22,23177845;22,55682869;8,133802547
237,312;25,65880834;16,98342157;8,764736348
237,907;27,58786682;20,09639441;6,870937489
238,503;39,7528573;27,38414306;7,355450235
239,099;39,89271101;21,14422934;-7,336827025
239,694;35,6007927;21,56663417;-1,0847901
240,289;34,45627807;20,50891661;-0,119731347
240,885;38,46153916;20,47574541;11,51795964
241,480;29,38903336;22,13181391;14,22067955
242,076;23,36349179;19,0818702;14,87875832
242,671;11,43236047;20,98116468;7,139951203
243,266;7,523862414;7,532122193;5,168493656
243,861;-0,639245392;7,605876969;3,69733501
244,457;11,30102027;14,00373967;9,78386729
245,052;3,910784863;14,83771149;7,04399896
245,647;9,756755492;17,71720567;10,57389952
246,242;14,30320911;24,02027704;12,26876449
246,837;11,21269166;19,81465154;13,31329174
247,432;8,85722088;18,00262556;13,98275513
248,027;18,73198545;15,55023929;15,9060114
248,622;21,7074565;26,02801447;16,60096449
249,217;26,25189459;19,5799284;17,25978713
249,812;13,70010929;9,551556961;14,13644759
250,407;30,23764928;16,13745238;11,41534167
251,002;20,25481818;11,77401371;9,628610378
251,597;23,11390167;6,220452455;11,04982583
252,192;11,43050524;10,14129516;6,914796091
252,786;28,35051371;14,00239009;8,055853889
253,381;24,33751761;11,76929184;19,11845751
253,976;27,64036275;4,888304503;19,9219417
254,571;12,88094128;6,608883923;20,55534932
255,165;14,41891293;13,19609363;26,11375314
255,760;-7,948876696;9,950249215;30,62201167
256,354;2,061547042;9,97311815;28,65487829
256,949;-8,54410874;8,12834295;23,33934704
257,543;3,571426994;4,391270042;23,3598067
258,138;1,062417513;5,194238389;19,67549469
258,732;8,325359429;10,19121212;9,33701676
259,327;-3,050545169;3,501869283;8,901846681
259,921;17,42487435;8,47072228;9,554831637
260,515;16,27958311;5,89002825;5,351833282
261,110;25,14130675;3,556100723;5,153049763
261,704;15,14563009;12,46863529;10,56994769
262,298;15,5328351;11,19853617;13,49762966
262,893;19,21079834;8,912721604;8,825151626
263,487;15,33952121;-2,773406802;8,85318788
264,081;5,808080976;-1,428295674;14,02637573
264,675;15,40845717;8,409570783;15,05235506
265,269;-5,279298939;4,84181069;16,44159366
265,863;-6,878422613;1,447124558;16,43270148
266,457;-7,036731504;0,655447092;14,26031195
267,051;-7,311827639;-5,852814244;14,7819923
267,645;-10,65324288;-0,245355664;13,99999956
268,239;-2,799206555;7,993366201;23,55358329
268,833;-1,872813235;14,21526973;28,79226943
269,427;-5,830224139;8,154349762;22,94782348
270,021;-7,825885319;1,294252088;15,70446793
270,614;-2,418925223;-0,122448861;18,50426658
271,208;-7,774725195;3,424259864;20,76349992
271,802;-14,2580291;0,422750752;15,69874311
272,396;-37,27656893;-14,67667204;15,16074968
272,989;-24,03289755;-18,23489805;18,57405156
273,583;-45,98565386;-23,13072929;11,46868556
274,177;-30,10328016;-16,22667208;6,554429133
274,770;-30,45790348;-9,677419447;9,882504514
275,364;-30,16938381;-5,197229069;14,16916377
275,957;-18,88374589;-6,067055647;9,523810032
276,551;-2,008142339;-1,085553009;10,64459971
277,144;-4,238367753;-5,964432138;18,90800681
277,737;18,09160423;12,91002782;18,07863219
278,331;12,23310666;10,30749244;11,01015586
278,924;23,09576139;3,379384159;11,26059701
279,517;14,69709203;-1,383220906;10,81814635
280,111;27,71211146;3,724927934;10,84714601
280,704;23,93141245;3,683753766;15,72006254
281,297;18,75711417;6,581352603;19,43266924
281,890;17,30811483;9,977245702;16,54804163
282,483;20,40271196;13,16619977;12,15876448
283,077;19,19877355;9,738759042;8,740129846
283,670;25,21906396;14,25091348;12,45220259
284,263;14,65008402;17,67603122;10,34036217
284,856;21,89918454;16,59729504;9,043536912
