Filename-->;FLOR_1.RFL8;FLOR_2.RFL8;FLOR_3.RFL8;FLOR_4.RFL8
Mode/Unit-->;;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20;20
Smoothing-->;4;4;4;4
Wavelength [nm];;;;
252,192;26,5208119;44,35514578;59,06099195;21,42857086
252,786;30,64864847;46,73871056;62,93750317;17,77225091
253,381;28,17449477;22,83356253;57,6390325;31,76788903
253,976;39,97539985;33,39973528;60,55604044;30,92834124
254,571;41,3223113;39,33785206;59,45394205;48,95185521
255,165;42,21614177;34,72984314;51,09472722;35,43508756
255,760;41,66464291;34,88904258;49,98857993;18,73061325
256,354;47,3964939;37,35357925;43,33767283;24,27896107
256,949;51,96708869;47,45877803;27,48336626;34,98458893
257,543;50,23347255;46,33381527;31,14123919;24,67018453
258,138;48,81670451;56,9626796;21,95744854;29,2974575
258,732;46,82415696;74,96642333;31,06204026;27,13450108
259,327;41,08826688;80,24762289;29,46503862;28,58371427
259,921;43,87038341;87,28953168;33,37577253;14,25149618
260,515;40,11934898;94,45103852;31,99834106;17,04643712
261,110;32,65305962;99,3810155;30,861336;21,68141567
261,704;27,70175694;92,16977907;29,48161693;22,025496
262,298;16,12562487;71,99295201;26,7706002;-2,176907688
262,893;20,30401679;66,13213481;25,73839659;14,56953819
263,487;22,68842348;50,95930645;32,82828301;21,71168846
264,081;15,37351858;53,84615261;27,99208755;19,55843633
264,675;21,48781466;53,66863649;31,74224271;24,00000068
265,269;18,14136296;56,02272726;27,62868537;23,91132134
265,863;21,39738024;59,11376284;35,70755481;21,78379591
266,457;29,94454937;51,3537912;38,95929397;20,32258155
267,051;36,38071146;48,11668302;38,36363691;10,32001852
267,645;33,19583031;61,39241001;40,33073005;15,22919755
268,239;46,51315522;48,73599207;48,87857723;8,113329073
268,833;43,99905163;42,86495296;42,55285273;4,809794718
269,427;46,65383592;33,10610502;43,56720461;10,33312152
270,021;38,10186955;31,56848109;34,1190429;5,400411013
270,614;45,23361124;29,52836828;37,40283478;11,01362757
271,208;41,17647178;27,44728914;30,53140178;20,2915236
271,802;37,84890108;30,77821049;30,50283129;23,7545119
272,396;31,86770422;35,35564809;33,83388929;30,27210907
272,989;29,20610265;33,60907914;34,50335975;32,19758162
273,583;19,98365324;34,3887262;26,51869164;33,49711758
274,177;20;37,16304129;29,80512261;27,21811477
274,770;13,49272336;33,06291381;30,41206135;27,69818537
275,364;23,7533408;32,78966201;45,75751848;26,97911651
275,957;13,93924777;37,35618611;50,35846153;20,21489296
