Filename-->;ENVEZ_1.RFL8;ENVEZ_2.RFL8;ENVEZ_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
196,141;18,84516768;29,6794222;-3,338762346
196,739;17,3369224;24,85898378;2,171023981
197,337;8,910377521;32,14209408;3,461156804
197,934;11,87881044;21,83248154;6,480784252
198,532;18,47299889;28,71783918;-10,38210213
199,130;19,25630843;31,36488102;-19,67508851
199,727;24,40816486;28,9898604;-12,93588221
200,325;19,33515293;26,65804516;0,084624942
200,922;29,55624464;31,28855227;-15,31284261
201,520;28,71820785;25,22950827;-8,795076082
202,117;29,67251072;34,45024464;-22,92576465
202,715;28,90935063;30,96057501;-14,70133244
203,312;29,9691026;42,20126698;-25,94128792
203,909;24,48704625;37,80901509;-8,5225513
204,507;20,13541878;32,68053833;-11,19929515
205,104;23,10984357;36,35269928;-0,185674316
205,701;30,45195783;45,52789489;-6,812225518
206,298;28,01784283;46,39427111;2,366865638
206,896;27,75453376;52,77284038;-4,907972686
207,493;24,27659816;47,22749998;-0,104637402
208,090;28,58478878;54,06008855;-5,741628993
208,687;23,28492735;43,11006798;8,485959215
209,284;23,94488987;43,53448241;-1,887325
209,881;28,89991721;38,53733304;10,04326466
210,478;21,25195627;41,21589487;12,13728668
211,075;13,83746543;35,67482205;12,93943918
211,672;13,51544395;34,91124468;8,656798318
212,269;-1,485420674;21,20918266;12,2096318
212,866;11,74261874;32,5587755;5,180412897
213,463;12,45018415;36,99296801;3,674072172
214,060;17,24615432;46,25256839;-10,47618916
214,657;17,50074412;45,26089171;8,153330427
215,253;19,43231406;58,76213731;4,976792183
215,850;28,01038971;55,39784009;14,26277798
216,447;29,290261;52,94999151;18,92411106
217,044;21,31729112;43,72158181;18,55385435
217,640;33,79567506;46,34599201;21,14902184
218,237;30,77642584;38,37346403;39,26673913
218,833;35,83489756;32,86242849;46,38896557
219,430;29,28398978;22,89855139;50,52376775
220,026;27,74886053;23,51904099;39,75409904
220,623;24,74995847;18,79253133;34,83810668
221,219;26,19372387;17,11428015;19,30631945
221,816;25,19005529;16,09616966;16,5432923
222,412;32,73984246;20,98445578;11,50356573
223,009;29,67660051;22,10040362;13,75496195
223,605;24,67505189;32,67779137;10,08487189
224,201;18,87211313;29,71462884;4,878685166
224,798;24,41353437;36,15973786;11,66166041
225,394;22,45375329;32,29696645;12,57501967
225,990;27,15842523;34,91625447;8,399602828
226,586;18,86309952;28,34327509;16,73912849
227,182;13,77134392;29,43108929;11,50662332
227,778;15,85754488;32,29681921;17,84925275
228,374;18,26228371;32,55377465;13,32665401
228,971;21,3082427;24,14101621;-2,267304048
229,567;17,74368217;29,74695675;-6,41243034
230,163;16,01187408;20,95452673;-11,9809821
230,758;19,7332878;28,18612312;-5,019629498
231,354;14,68440744;21,87913451;-1,272728682
231,950;16,36974795;27,37642528;-12,25942374
232,546;28,20224528;32,95754255;4,935131561
233,142;28,65248156;30,05413014;-3,622578094
233,738;29,54808628;21,84803915;-2,152795385
234,334;35,01072245;28,31495089;7,709809122
234,929;38,56370466;23,71711989;13,78167291
235,525;44,59672248;28,2856531;17,65223122
236,121;39,4217916;19,12092827;22,34712204
236,716;43,38022945;19,9569788;23,32734792
237,312;39,64111108;15,59482278;36,56667499
237,907;35,13187317;10,8652792;18,88709209
238,503;34,67110719;11,28672752;23,25895813
239,099;36,05746999;12,52918275;17,78752489
239,694;29,17578521;5,90529295;22,33192504
240,289;29,2913877;4,425128037;19,99043753
240,885;29,29450125;7,273068665;15,87264705
