Filename-->;PETALO.RFL8;PETALO2.RFL8;PETALO3.RFL8;PETALO4.RFL8;PETALO5.RFL8
Mode/Unit-->;;;;;
Int.time[ms]-->;10;10;10;10;10
NrOfAverages-->;20;20;20;20;20
Smoothing-->;4;4;4;4;4
Wavelength [nm];;;;;
239,694;50,39929222;10,98596733;20,14401719;40,67577403;13,34933513
240,289;53,50843131;6,981054732;11,65568413;38,30313048;12,29406976
240,885;45,03628665;-3,313528529;8,08957986;31,4442422;7,655393464
241,480;50,6268734;1,448375506;3,000206026;41,67183862;12,82847042
242,076;48,83137489;10,04459496;11,50987468;44,00084938;10,55425775
242,671;46,00950902;20,73046296;6,5904906;49,25525457;17,42501509
243,266;45,51478005;20,5741635;16,48724186;45,23524693;26,75438671
243,861;46,30195163;24,05345285;11,38084738;40,91314123;32,8285087
244,457;42,01111857;25,54984657;15,84789306;37,71839764;44,46043265
245,052;40,04208668;27,59638167;19,9252564;32,14004789;41,79779777
245,647;38,56523756;30,88208623;19,70657378;35,102336;41,69534452
246,242;40,3876842;32,73133688;19,60784204;39,57688213;40,9184714
246,837;40,77583133;30,08030699;21,31634099;34,84636846;47,22416162
247,432;42,33172247;21,20507731;13,28446227;31,71821856;42,64258882
248,027;43,94495229;25,00849558;18,55249828;30,92082962;45,41284414
248,622;46,44891127;28,43045176;13,25188067;32,37782034;39,88095294
249,217;47,47653045;23,24434149;19,25420828;39,39349946;41,00406276
249,812;48,05491946;24,23389601;11,83552204;43,65228238;32,20762982
250,407;52,33634207;21,9855989;11,78182909;40,24820021;27,86885335
251,002;54,26597398;22,6967366;14,58733176;36,64427271;30,18234148
251,597;56,47588847;22,90885297;18,1966403;33,44203378;30,60492336
252,192;59,48529398;23,39276961;15,88418121;34,53296219;27,69507629
252,786;53,13797567;26,69382795;15,69337508;31,49237942;32,63920282
253,381;56,50781877;20,69892486;8,222643998;31,75205576;30,07590139
253,976;52,38212273;13,77534521;7,467010056;29,15996054;30,73704416
254,571;52,1539026;24,09453555;11,87845231;24,89257119;25,09208012
255,165;54,19884196;18,78218781;15,19236644;21,53892815;30,41502648
255,760;51,3151565;20,67919995;19,60279024;20,72468202;29,79078294
256,354;50,51546555;20,20631077;21,73847092;21,34405339;23,51334967
256,949;46,51133287;22,36024844;16,84782629;23,9440995;25,57453435
257,543;42,28251691;25,55046539;21,7378453;26,14156925;20,46697209
258,138;39,84194672;29,05592638;19,33800721;27,88194951;19,810859
258,732;32,81414529;28,47825975;27,35785853;30,41805932;18,42809276
259,327;40,70775617;30,13092642;28,29087033;33,28025432;10,47416838
259,921;39,11648679;25,11780266;26,28559633;30,85433203;10,36672739
260,515;41,09440745;22,89043479;21,78162061;30,16350351;15,09114901
261,110;41,47851585;18,80834143;18,29195616;37,19960325;19,5034755
261,704;40,50332158;18,1872624;15,35236526;44,04072682;22,89878156
262,298;43,0988139;18,14123251;22,30113513;38,45373232;21,24594032
262,893;40,536758;17,70766309;12,21292153;38,91393041;21,65700856
263,487;43,34773442;13,77343149;16,95191549;37,48981198;22,22901409
